lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
AND,ANDERSON REGIONAL AP,34.495,-82.709166666667,0.81,PP,RZ,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
WLDT1,WILDWOOD,35.8,-83.8333333333333,0.05,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1586265100000,9999,9999,None
RLDV2,RICHLANDS PRECIP (TVA),37.0961111111111,-81.8358333333333,0.31,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
AVLN7,ASHEVILLE,35.609166666667,-82.578611111111,0.33,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
DNNT1,Dunn (3S Lawrenceburg),35.1977777777778,-87.3244444444444,0.16,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
CLBT1,Columbia,35.663611111111,-87.033333333333,0.96,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
BRUV2,BRUSH MTN IFLOWS,37.3013888888889,-80.3991666666667,0.04,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
GTTT1,GATLINBURG,35.713611,-83.5125,0.19,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1584264710000,9999,9999,None
BPGT1,Bethpage,36.486111111111,-86.310277777778,0.05,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
