lid,lat,lon,name,cwa,elev,obtype
03038,34.145,-83.238,Danielsville,FFC,237,Mesonet
10863,33.547,-84.575,I-85@SR74/Senoia Rd,FFC,0,Mesonet
10864,33.505,-84.231,I-75@Hudson Bridge Rd,FFC,0,Mesonet
10869,33.635,-84.491,I-285@Washington Rd,FFC,0,Mesonet
10870,33.669,-84.338,I-285@Moreland Ave,FFC,0,Mesonet
10871,33.711,-84.211,I-20@Wesley Chapel Rd,FFC,0,Mesonet
10872,33.788,-84.492,I-285@SR8/D.L. Hollowell Pkwy,FFC,0,Mesonet
10873,32.877,-83.767,I-475@Zebulon Rd,FFC,0,Mesonet
10878,33.965,-84.351,GA400@Pitts Rd,FFC,0,Mesonet
10881,33.835,-84.2,US78@Mountain Industrial Blvd,FFC,0,Mesonet
10885,34.007,-84.071,I-85@Old Peachtree Rd,FFC,0,Mesonet
10886,34.079,-84.646,I-75@SR92,FFC,0,Mesonet
10887,34.014,-84.331,GA400@SR140/Holcomb Bridge Rd,FFC,0,Mesonet
10889,34.184,-84.139,GA400@SR20,FFC,0,Mesonet
10891,33.781,-84.391,I-85@10th St,FFC,0,Mesonet
10892,33.969,-84.526,I-75@SR120/South Marietta Pkwy,FFC,0,Mesonet
10893,33.917,-84.199,SR85@Jimmy Carter Blvd,FFC,0,Mesonet
10941,34.928,-85.153,I-75@SR2,FFC,0,Mesonet
10942,34.256,-85.35,SR20@East SR100 S,FFC,0,Mesonet
10954,34.869,-85.516,I-59@SR136,FFC,0,Mesonet
10955,34.873,-84.323,SR515@SR5/Blue Ridge Dr,FFC,0,Mesonet
10956,34.873,-83.965,US76@SR11/US19,FFC,0,Mesonet
10957,34.469,-83.967,US19/GA400@SR60,FFC,0,Mesonet
10963,34.685,-84.473,SR515/US76@SR5/1st Ave,FFC,0,Mesonet
10967,34.446,-84.445,Hwy 515@Bill Hasty Blvd,FFC,0,Mesonet
10968,34.377,-84.912,I-75@SR140,FFC,0,Mesonet
11665,33.665,-84.03,I-20@Klondike/West Ave,FFC,0,Mesonet
11666,33.607,-83.876,I-20@US278,FFC,0,Mesonet
11669,33.53,-82.91,I-20@SR22,FFC,0,Mesonet
11670,33.534,-83.268,I-20@Lake Oconee,FFC,0,Mesonet
11675,34.27,-83.817,I-985@SR53/SR60/SR365,FFC,0,Mesonet
11676,34.153,-83.645,I-85@SR11,FFC,0,Mesonet
11677,34.254,-83.463,I-85@SR15/US441,FFC,0,Mesonet
11680,34.735,-83.918,SR11@Neels Gap,FFC,0,Mesonet
11694,32.471,-83.744,I-75@SR7,FFC,0,Mesonet
1A5,35.222,-83.419,MACON COUNTY AIRPORT,GSP,2020,ASOS/AWOS
