lid,lat,lon,temp,validtime
NPOL1,90.00,00.00,9999,00/00/0000 00:00:00
SHOT1,35.155,-88.321666666667,85,2018-06-05 22:07:00
CMDT1,36.066111111111,-88.168611111111,80,2018-06-05 22:07:00
WLHS1,34.811666666667,-83.125,76,2018-06-05 22:06:00
CHGG1,34.640277777778,-83.521944444444,78,2018-06-05 22:06:00
TULG1,34.905833333333,-83.334444444444,77,2018-06-05 22:06:00
BURT1,36.065,-87.283055555556,82,2018-06-05 22:06:00
ONFG1,33.208333333333,-83.713611111111,80,2018-06-05 22:06:00
MGST1,35.5208,-84.7931,84,2018-06-05 22:06:00
PCFT1,35.13,-85.43,79,2018-06-05 22:06:00
LSBT1,35.381666666667,-86.765833333333,83,2018-06-05 22:06:00
LFFT1,36.541111111111,-86.002777777778,82,2018-06-05 22:06:00
BRSG1,34.802777777778,-83.71,72,2018-06-05 22:06:00
NAOG1,34.695277777778,-85.173611111111,83,2018-06-05 22:05:00
CPMG1,34.63,-84.0975,79,2018-06-05 22:05:00
BYRG1,32.168055555556,-83.974722222222,86,2018-06-05 22:05:00
TOPN7,35.166666666667,-83.403055555556,83,2018-06-05 22:05:00
GDCN7,35.756388888889,-82.043888888889,83,2018-06-05 22:05:00
BSKN7,35.752777777778,-82.183333333333,70,2018-06-05 22:05:00
CHON7,35.333333333333,-83.816666666667,79,2018-06-05 22:05:00
BLDT1,35.681944444444,-85.273333333333,78,2018-06-05 22:05:00
HGLN7,35.086111111111,-83.2175,72,2018-06-05 22:05:00
TCCG1,34.765,-84.0744444444444,78,2018-06-05 22:05:00
COHG1,34.9225,-84.659444444444,80,2018-06-05 22:05:00
LCLT1,35.84,-84.3308,82,2018-06-05 22:05:00
CSFT1,36.368888888889,-83.898611111111,78,2018-06-05 22:05:00
UNIT1,36.2013,-82.3722,76,2018-06-05 22:05:00
HCOT1,36.2572,-83.2772,83,2018-06-05 22:05:00
BOCT1,35.1558,-84.5947,77,2018-06-05 22:05:00
