lid,lat,lon,winds,windg,windd,validtime
NPOL1,90.00,00.00,9999,9999,9999,00/00/0000 00:00:00
CMDT1,36.066111111111,-88.168611111111,1,9999,337,2018-06-05 22:07:00
SHOT1,35.155,-88.321666666667,2,9999,10,2018-06-05 22:07:00
CHGG1,34.640277777778,-83.521944444444,6,9999,220,2018-06-05 22:06:00
WLHS1,34.811666666667,-83.125,0,9999,175,2018-06-05 22:06:00
BRSG1,34.802777777778,-83.71,3,9999,164,2018-06-05 22:06:00
ONFG1,33.208333333333,-83.713611111111,0,9999,325,2018-06-05 22:06:00
TULG1,34.905833333333,-83.334444444444,4,9999,201,2018-06-05 22:06:00
BYRG1,32.168055555556,-83.974722222222,5,9999,298,2018-06-05 22:05:00
HGLN7,35.086111111111,-83.2175,2,9999,232,2018-06-05 22:05:00
TOPN7,35.166666666667,-83.403055555556,3,9999,178,2018-06-05 22:05:00
GDCN7,35.756388888889,-82.043888888889,2,9999,203,2018-06-05 22:05:00
TSQN7,35.0747,-84.1267,8,9999,321,2018-06-05 22:05:00
CHON7,35.333333333333,-83.816666666667,2,9999,238,2018-06-05 22:05:00
BSKN7,35.752777777778,-82.183333333333,1,9999,256,2018-06-05 22:05:00
TCCG1,34.765,-84.0744444444444,5,9999,305,2018-06-05 22:05:00
COHG1,34.9225,-84.659444444444,2,9999,359,2018-06-05 22:05:00
NAOG1,34.695277777778,-85.173611111111,2,9999,276,2018-06-05 22:05:00
CPMG1,34.63,-84.0975,6,9999,247,2018-06-05 22:05:00
MDWG1,31.78,-81.44,1,9999,253,2018-06-05 22:04:00
DARN7,35.350555555556,-82.778611111111,2,9999,106,2018-06-05 22:04:00
TAYN7,35.911666666667,-81.136666666667,4,9999,232,2018-06-05 22:04:00
WHIS1,34.616666666667,-81.583333333333,4,9999,244,2018-06-05 22:03:00
MRAG1,32.096388888889,-82.884166666667,3,9999,305,2018-06-05 22:03:00
PLAG1,32.110555555556,-84.184166666667,6,9999,312,2018-06-05 22:03:00
MTFG1,32.3911111111111,-82.0372222222222,7,9999,290,2018-06-05 22:03:00
HRDG1,33.010277777778,-83.207222222222,3,9999,306,2018-06-05 22:03:00
BOLG1,33.009722222222,-83.716388888889,0,9999,312,2018-06-05 22:03:00
LOUG1,32.975,-82.352777777778,7,9999,276,2018-06-05 22:03:00
AFRG1,33.896666666667,-83.365555555556,4,9999,254,2018-06-05 22:02:00
EJAG1,34.758888888889,-84.766388888889,5,9999,322,2018-06-05 22:02:00
DSVG1,34.3763888888889,-84.06,1,9999,272,2018-06-05 22:02:00
DLSG1,33.942777777778,-84.791944444444,4,9999,302,2018-06-05 22:02:00
NNAG1,33.365277777778,-84.859444444444,0,9999,250,2018-06-05 22:02:00
WSNG1,33.7805555555556,-82.8161111111111,2,9999,250,2018-06-05 22:02:00
LKRV2,37.986388888889,-79.759444444444,2,9999,331,2018-06-05 22:01:00
FLTN7,35.418611111111,-82.556666666667,2,9999,9999,2018-06-05 22:00:00
SKYN7,35.495,-82.615,1,9999,9999,2018-06-05 22:00:00
RBDS1,34.101111111111,-82.618055555556,1,9999,297,2018-06-05 21:15:00
PGVT1,35.981944444444,-82.843333333333,2,9999,164,2018-06-05 21:59:00
SFRV2,37.0111111111111,-81.1786111111111,2,9999,276,2018-06-05 21:58:00
CHKN7,35.619722222222,-83.206944444444,2,9999,352,2018-06-05 21:57:00
RUTN7,35.428611111111,-81.939444444444,1,9999,152,2018-06-05 21:46:00
POPN7,36.073611111111,-82.206111111111,2,9999,239,2018-06-05 21:45:00
CHDS1,33.6630555555556,-82.1897222222222,6,9999,342,2018-06-05 21:20:00
COWN7,35.479444444444,-83.327222222222,2,9999,240,2018-06-05 21:32:00
TOSN7,35.536111111111,-83.285,2,9999,258,2018-06-05 21:32:00
IGGT1,35.6236,-83.8083,3,9999,252,2018-06-05 21:31:00
KNGS1,35.145555555556,-81.402222222222,2,9999,241,2018-06-05 21:31:00
STCN7,36.07,-81.799166666667,8,9999,100,2018-06-05 21:28:00
SVNS1,32.1,-81.08,8,9999,287,2018-06-05 21:23:00
MERT1,35.504166666667,-87.457777777778,3,9999,169,2018-06-05 21:22:00
DPGG1,33.647222222222,-83.294722222222,1,9999,211,2018-06-05 21:19:00
CCKT1,35.3814,-84.1231,0,9999,238,2018-06-05 21:19:00
PIRW2,37.526388888889,-80.999166666667,4,9999,333,2018-06-05 21:17:00
CGLN7,36.385555555556,-79.291944444444,4,9999,318,2018-06-05 21:16:00
NCVN7,35.816666666667,-81.937222222222,1,9999,197,2018-06-05 21:16:00
CMMG1,34.158333333333,-84.072222222222,3,9999,288,2018-06-05 21:15:00
FCRT1,36.625555555556,-87.536944444444,3,9999,216,2018-06-05 21:15:00
