lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
CUXA1,Cullman Ag Station,34.19555,-86.79638,0.18,PP,RG,5,Hourly 2018-06-28 21:00:00Z / 05 Min 2018-06-29 01:40:00Z,9999,9999,9999,None
LCXA1,Lawrence County Airport COOP-M,34.6602777777778,-87.3461111111111,0.24,PP,RG,5,Hourly 2018-06-28 21:00:00Z / 05 Min 2018-06-29 01:40:00Z,9999,9999,9999,None
VHXA1,Valley Head HCN-M,34.5652777777778,-85.6169444444444,0.06,PP,RG,5,Hourly 2018-06-28 21:00:00Z / 05 Min 2018-06-29 01:35:00Z,9999,9999,9999,None
SMCA1,Crossville Ag Station,34.285,-85.96222,0.21,PP,RG,5,Hourly 2018-06-28 21:00:00Z / 05 Min 2018-06-29 02:10:00Z,9999,9999,9999,None
SCXA1,Scottsboro Airport,34.694167,-85.99972,0.06,PP,RG,5,Hourly 2018-06-28 21:00:00Z / 05 Min 2018-06-29 01:35:00Z,9999,9999,9999,None
KNYN7,#21 KENNEDY JR HIGH SCHOOL,35.153611111111,-80.955833333333,0.23,PC,RR,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 02:10:00Z,9999,9999,9999,None
FRTVL,Fort Valley,32.54,-83.9,0.02,PC,RZ,0,Precip Acc 2018-06-28 20:20:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
C0699,Newnan,33.39,-84.74,0.1,PC,RZ,0,Precip Acc 2018-06-28 20:21:21Z / Precip Acc 2018-06-29 02:06:29Z,9999,9999,9999,None
AT326,Walland,35.764,-83.758,0.01,PC,RZ,0,Precip Acc 2018-06-28 20:21:25Z / Precip Acc 2018-06-29 02:09:57Z,1586267230000,2.62,0.4,None
C7619,Temple,33.79452,-84.99432,0.13,PC,RZ,0,Precip Acc 2018-06-28 20:22:01Z / Precip Acc 2018-06-29 02:05:20Z,9999,9999,9999,None
C0041,Brunswick,31.24,-81.5,0.16,PC,RZ,0,Precip Acc 2018-06-28 20:22:10Z / Precip Acc 2018-06-29 02:12:08Z,9999,9999,9999,None
AS642,Dallas,33.94767,-84.844,0.2,PC,RZ,0,Precip Acc 2018-06-28 20:22:43Z / Precip Acc 2018-06-29 02:11:27Z,9999,9999,9999,None
DCU,Decatur ASOS / Pryor Field,34.6525,-86.9452777777778,0.03,PP,RZ,1001,Hourly 2018-06-28 20:23:00Z / Hourly 2018-06-29 02:00:00Z,9999,9999,9999,None
F2355,Chattanooga,35.102,-85.286,0.01,PC,RZ,0,Precip Acc 2018-06-28 20:23:32Z / Precip Acc 2018-06-29 02:13:51Z,1594219620000,2.48,0.4,MRMS * 1.0=0.01
E3897,Kingston,35.8,-84.59,0.01,PC,RZ,0,Precip Acc 2018-06-28 20:23:53Z / Precip Acc 2018-06-29 02:08:49Z,1586217900000,1.93,0.5,None
LOKMT,Lookout Mountain,34.98,-85.36,0.02,PC,RZ,0,Precip Acc 2018-06-28 20:24:00Z / Precip Acc 2018-06-29 02:14:00Z,9999,9999,9999,None
AS188,Hixson,35.13,-85.2,0.01,PC,RZ,0,Precip Acc 2018-06-28 20:25:48Z / Precip Acc 2018-06-29 02:06:17Z,1594253100000,2.18,0.5,None
CSG,COLUMBUS AIRPORT,32.516111111111,-84.942222222222,0.25,PP,RZ,1001,Hourly 2018-06-28 20:30:00Z / Hourly 2018-06-29 02:00:00Z,9999,9999,9999,None
DFYG1,Dames Ferry,33.016666666667,-83.727222222222,0.04,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
PTBT1,Petersburg,35.3266666666667,-86.6538888888889,0.07,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
HILG1,Frolona,33.340555555556,-85.226944444444,0.5,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
