lid,lat,lon,value,pe,ts,validtime,wfo,action,minorflood,moderateflood,majorflood,stagecat,upgradedeparture,streamname,county
ARTT1,36.541666666667,-83.630277777778,4.73,HG,RG,2018-06-29 01:15:00Z,MRX,15,17,22,26,Normal,-10.27,Arthur Tn,Claiborne
CHAT1,35.056111111111,-85.306388888889,637.35,HG,RG,2018-06-28 21:15:00Z,MRX,649,651,653,655,Normal,-11.65,Chattanooga At Walnut St. Bridge,Hamilton
CHKT1,35.013611111111,-85.210555555556,12.38,HG,RG,2018-06-29 01:15:00Z,MRX,16,18,22,27,Normal,-3.62,Chickamauga Tn,Hamilton
CLVV2,36.944722222222,-82.155,2.54,HG,RG,2018-06-29 01:45:00Z,MRX,12,14,19,24,Normal,-9.46,Cleveland Va,Russell
CPHT1,34.991666666667,-84.377222222222,4.32,HG,RG,2018-06-29 01:30:00Z,MRX,6,8,12,14,Normal,-1.68,Copperhill Tn,Polk
DOET1,36.344444444444,-82.210277777778,1.72,HG,RG,2018-06-29 02:15:00Z,MRX,5,8,9,10,Normal,-3.28,Elizabethton,Carter
EMBT1,36.176388888889,-82.4575,3.16,HG,RG,2018-06-29 01:15:00Z,MRX,10,12,16,20,Normal,-6.84,Embreeville Tn,Washington
EZBT1,36.355833333333,-82.223888888889,3.74,HG,RG,2018-06-29 02:00:00Z,MRX,7,8.5,11.5,14,Normal,-3.26,Watauga River At Elizabethton,Carter
GATV2,36.608611111111,-82.568055555556,2.87,HG,RG,2018-06-29 02:15:00Z,MRX,10,12,15,18,Normal,-7.13,Gate City Va,Scott
JNSV2,36.661944444444,-83.095,2.47,HG,RG,2018-06-29 01:45:00Z,MRX,15,18,30,35,Normal,-12.53,Jonesville Va,Lee
KNOT1,35.945833333333,-83.946666666667,813.43,HG,RG,2018-06-29 02:15:00Z,MRX,817,820,825,830,Normal,-3.57,Knoxville,Knox
MYVT1,35.786111111111,-83.884444444444,9.95,HG,RG,2018-06-29 01:30:00Z,MRX,15,18,21,24,Normal,-5.05,Little River At Maryville,Blount
NEPT1,35.960555555556,-83.174444444444,5.47,HG,RG,2018-06-29 02:00:00Z,MRX,6,8,10,12,Normal,-0.53,Newport Tn,Cocke
NWPT1,35.981666666667,-83.161111111111,4.41,HG,RG,2018-06-29 01:45:00Z,MRX,8,10,16,20,Normal,-3.59,Newport Tn,Cocke
OAKT1,35.983055555556,-84.558055555556,14.84,HG,RG,2018-06-29 02:00:00Z,MRX,12,27,28,30,Action,-12.16,Oakdale Tn,Morgan
RVLT1,36.426111111111,-82.951944444444,1.89,HG,RG,2018-06-29 01:30:00Z,MRX,5,7,8,9,Normal,-3.11,Rogersville,Hawkins
SEET1,35.581388888889,-84.748055555556,5.37,HG,RG,2018-06-29 02:00:00Z,MRX,10,10,15,20,Normal,-4.63,Sewee Creek Near Decatur,Meigs
SEVT1,35.878333333333,-83.577777777778,4.31,HG,RG,2018-06-29 01:30:00Z,MRX,10,11,14,16,Normal,-5.69,Sevierville Tn,Sevier
SFYV2,36.648611111111,-82.750555555556,4.59,HG,RG,2018-06-29 01:15:00Z,MRX,16,18,28,32,Normal,-11.41,Speers Ferry Va,Scott
TAZT1,36.425,-83.398333333333,3.01,HG,RG,2018-06-29 01:00:00Z,MRX,10,12,16,21,Normal,-6.99,Tazewell Tn,Claiborne
TMVN7,35.138888888889,-83.980555555556,3.01,HG,RG,2018-06-29 01:30:00Z,MRX,6,12,13,14,Normal,-2.99,Tomotla, NC
WHTT1,35.206388888889,-85.497222222222,11.96,HG,RG,2018-06-29 01:15:00Z,MRX,12,14,18,19,Normal,-0.04,Whitwell Tn,Marion
