lid,lat,lon,temp,validtime
NPOL1,90.00,00.00,9999,00/00/0000 00:00:00
PIRW2,37.526388888889,-80.999166666667,69,2018-06-29 02:17:00
NCVN7,35.816666666667,-81.937222222222,70,2018-06-29 02:16:00
CGLN7,36.385555555556,-79.291944444444,74,2018-06-29 02:16:00
C3454,34.214166666667,-84.279722222222,66,2018-06-29 01:20:10
AR704,33.51,-82.12,78,2018-06-29 01:20:07
MORGN,34.7,-84.23,64,2018-06-29 01:20:00
SGMNT,35.16,-85.36,64,2018-06-29 01:20:00
FRTVL,32.54,-83.9,71,2018-06-29 01:20:00
CHGPS,35.06,-85.3,69,2018-06-29 01:20:00
KAHN,33.95,-83.3166666666667,70,2018-06-29 01:20:00
FCRT1,36.625555555556,-87.536944444444,75,2018-06-29 02:15:00
E7049,35.855,-84.493,72,2018-06-29 01:29:55
BLF,37.3,-81.216667,69,2018-06-29 02:00:00
LOKMT,34.98,-85.36,64,2018-06-29 01:24:00
MRRYV,34.51,-83.85,69,2018-06-29 01:24:00
HRTWL,34.34,-82.92,74,2018-06-29 01:24:00
CHTTN,35.08,-85.26,69,2018-06-29 01:24:00
STNMN,33.81,-84.14,67,2018-06-29 01:24:00
SBDCE,35.94,-85.33,68,2018-06-29 01:24:00
SPART,35.88,-85.47,66,2018-06-29 01:24:00
F2355,35.102,-85.286,68,2018-06-29 01:23:30
AS054,34.083055555556,-83.666944444444,69,2018-06-29 01:23:30
AU825,35.182,-85.315,66,2018-06-29 01:23:13
E5703,34.99,-85.727,63,2018-06-29 01:22:47
D1057,35.124,-85.366,67,2018-06-29 01:27:39
C0041,31.24,-81.5,73,2018-06-29 01:22:07
C3112,33.8,-84.3,68,2018-06-29 01:32:04
AR980,33.95,-84.42,68,2018-06-29 01:22:00
AR333,35.92,-85.07,69,2018-06-29 01:21:59
E9403,35.638,-83.928,67,2018-06-29 01:26:40
AS642,33.94767,-84.844,66,2018-06-29 01:21:14
C1285,33.65,-83.75,68,2018-06-29 01:26:14
D1121,35.09,-84.04,67,2018-06-29 01:21:10
WSEV2,36.9681,-82.5597,69,2018-06-29 02:11:00
RMG,34.35,-85.1666666666667,68,2018-06-29 01:46:00
D6386,35.865,-84.664,72,2018-06-29 01:25:42
C0212,35.2,-84.798,69,2018-06-29 01:20:22
AR426,34.56,-84.29,65,2018-06-29 01:20:06
RVZN7,36.2275,-81.2975,75,2018-06-29 02:10:00
CSVT1,36.013888888889,-85.134444444444,69,2018-06-29 01:20:00
GUIN7,35.213333333333,-82.59,68,2018-06-29 02:10:00
CUWN7,35.316666666667,-83.2,68,2018-06-29 02:10:00
MTIN7,35.378888888889,-80.9925,74,2018-06-29 02:10:00
FBGG1,32.396666666667,-84.87,70,2018-06-29 02:10:00
SMCA1,34.285,-85.96222,66,2018-06-29 01:20:00
AT326,35.764,-83.758,65,2018-06-29 01:24:59
AS318,35.114,-85.789,66,2018-06-29 01:26:49
C5013,35,-85.12,68,2018-06-29 01:34:28
BSAK2,37.75,-82.6333333333333,88,2018-06-29 02:09:00
KOMK2,37.7825,-83.63,83,2018-06-29 02:09:00
E3897,35.8,-84.59,73,2018-06-29 01:23:48
AU405,35.294,-85.053,68,2018-06-29 01:23:16
AV056,35.757,-83.948,73,2018-06-29 01:28:10
MAHN7,35.803055555556,-82.650277777778,94,2018-06-29 02:08:00
C2647,32.55,-84.1,72,2018-06-29 01:22:46
E5259,35.043,-85.2525,68,2018-06-29 01:22:42
D3435,36.113,-84.212,72,2018-06-29 01:22:35
C9567,35.12,-85.331,66,2018-06-29 01:27:24
CMDT1,36.066111111111,-88.168611111111,92,2018-06-29 02:07:00
SHOT1,35.155,-88.321666666667,84,2018-06-29 02:07:00
CGVV2,37.522222222222,-80.079722222222,71,2018-06-29 02:07:00
C0699,33.39,-84.74,68,2018-06-29 01:21:27
E5819,35.42,-84.48,71,2018-06-29 01:33:32
AS188,35.13,-85.2,68,2018-06-29 01:25:37
AU837,35.04,-84.22,69,2018-06-29 01:24:08
PCFT1,35.13,-85.43,65,2018-06-29 02:06:00
WLHS1,34.811666666667,-83.125,94,2018-06-29 02:06:00
BRSG1,34.802777777778,-83.71,64,2018-06-29 02:06:00
ONFG1,33.208333333333,-83.713611111111,69,2018-06-29 02:06:00
MGST1,35.5208,-84.7931,71,2018-06-29 02:06:00
BURT1,36.065,-87.283055555556,73,2018-06-29 02:06:00
LSBT1,35.381666666667,-86.765833333333,69,2018-06-29 02:06:00
LFFT1,36.541111111111,-86.002777777778,72,2018-06-29 02:06:00
CHGG1,34.640277777778,-83.521944444444,71,2018-06-29 02:06:00
TULG1,34.905833333333,-83.334444444444,71,2018-06-29 02:06:00
C7619,33.79452,-84.99432,67,2018-06-29 01:25:20
HGLN7,35.086111111111,-83.2175,63,2018-06-29 02:05:00
TOPN7,35.166666666667,-83.403055555556,67,2018-06-29 02:05:00
GDCN7,35.756388888889,-82.043888888889,71,2018-06-29 02:05:00
TSQN7,35.0747,-84.1267,67,2018-06-29 02:05:00
BSKN7,35.752777777778,-82.183333333333,64,2018-06-29 02:05:00
CHON7,35.333333333333,-83.816666666667,68,2018-06-29 02:05:00
HCOT1,36.2572,-83.2772,73,2018-06-29 02:05:00
UNIT1,36.2013,-82.3722,99,2018-06-29 02:05:00
BLDT1,35.681944444444,-85.273333333333,67,2018-06-29 02:05:00
TCCG1,34.765,-84.0744444444444,66,2018-06-29 02:05:00
BOCT1,35.1558,-84.5947,99,2018-06-29 02:05:00
BYRG1,32.168055555556,-83.974722222222,72,2018-06-29 02:05:00
COHG1,34.9225,-84.659444444444,66,2018-06-29 02:05:00
NAOG1,34.695277777778,-85.173611111111,99,2018-06-29 02:05:00
CPMG1,34.63,-84.0975,90,2018-06-29 02:05:00
CSFT1,36.368888888889,-83.898611111111,98,2018-06-29 02:05:00
LCLT1,35.84,-84.3308,99,2018-06-29 02:05:00
AHCG1,33.788333333333,-83.393333333333,70,2018-06-29 01:20:00
