lid,lat,lon,winds,windg,windd,validtime
NPOL1,90.00,00.00,9999,9999,9999,00/00/0000 00:00:00
PIRW2,37.526388888889,-80.999166666667,1,9999,332,2018-06-29 02:17:00
NCVN7,35.816666666667,-81.937222222222,4,9999,299,2018-06-29 02:16:00
CGLN7,36.385555555556,-79.291944444444,0,9999,195,2018-06-29 02:16:00
C3454,34.214166666667,-84.279722222222,0,0,158,2018-06-29 01:20:10
AR704,33.51,-82.12,2,3,208,2018-06-29 01:20:07
SGMNT,35.16,-85.36,0,9999,75,2018-06-29 01:20:00
E7049,35.855,-84.493,0,-22367,360,2018-06-29 01:29:55
KAHN,33.95,-83.3166666666667,3,-22367,-9999,2018-06-29 01:20:00
MORGN,34.7,-84.23,0,9999,162,2018-06-29 01:20:00
CHGPS,35.06,-85.3,0,9999,329,2018-06-29 01:20:00
FCRT1,36.625555555556,-87.536944444444,11,9999,321,2018-06-29 02:15:00
FRTVL,32.54,-83.9,1,9999,114,2018-06-29 01:20:00
C4870,35.5,-84.38,9999,-22367,-9999,2018-06-29 01:20:12
CHTTN,35.08,-85.26,4,9999,317,2018-06-29 01:24:00
SBDCE,35.94,-85.33,0,9999,269,2018-06-29 01:24:00
STNMN,33.81,-84.14,19,9999,324,2018-06-29 01:24:00
SPART,35.88,-85.47,0,9999,214,2018-06-29 01:24:00
HRTWL,34.34,-82.92,4,9999,313,2018-06-29 01:24:00
MRRYV,34.51,-83.85,0,9999,259,2018-06-29 01:24:00
LOKMT,34.98,-85.36,2,9999,62,2018-06-29 01:24:00
F2355,35.102,-85.286,0,1,243,2018-06-29 01:23:30
AS054,34.083055555556,-83.666944444444,1,3,276,2018-06-29 01:23:30
AU825,35.182,-85.315,0,0,178,2018-06-29 01:23:13
E5703,34.99,-85.727,0,0,167,2018-06-29 01:22:47
D1057,35.124,-85.366,0,0,100,2018-06-29 01:27:39
C0041,31.24,-81.5,0,4,188,2018-06-29 01:22:07
C3112,33.8,-84.3,0,0,306,2018-06-29 01:32:04
AR980,33.95,-84.42,0,0,272,2018-06-29 01:22:00
AR333,35.92,-85.07,0,0,14,2018-06-29 01:21:59
E9403,35.638,-83.928,0,0,189,2018-06-29 01:26:40
AS642,33.94767,-84.844,0,0,45,2018-06-29 01:21:14
C1285,33.65,-83.75,0,0,247,2018-06-29 01:26:14
D1121,35.09,-84.04,0,0,251,2018-06-29 01:21:10
D6386,35.865,-84.664,0,0,2,2018-06-29 01:25:42
C0212,35.2,-84.798,0,0,144,2018-06-29 01:20:22
AR426,34.56,-84.29,0,0,186,2018-06-29 01:20:06
CUWN7,35.316666666667,-83.2,1,9999,171,2018-06-29 02:10:00
MTIN7,35.378888888889,-80.9925,2,9999,325,2018-06-29 02:10:00
FBGG1,32.396666666667,-84.87,3,9999,284,2018-06-29 02:10:00
GUIN7,35.213333333333,-82.59,2,9999,43,2018-06-29 02:10:00
RVZN7,36.2275,-81.2975,4,9999,329,2018-06-29 02:10:00
AT326,35.764,-83.758,0,0,107,2018-06-29 01:24:59
AS318,35.114,-85.789,0,0,267,2018-06-29 01:26:49
C5013,35,-85.12,0,0,127,2018-06-29 01:34:28
KOMK2,37.7825,-83.63,0,0,296,2018-06-29 02:09:00
