TYPE,PROJECT,QUAD_24K,SM_NAME,SM_TYPE,SMD_TYPE,MVMTDATE,COL_DATE,NC_CNTY,ROAD,RD_AZ,SA_ASPCT,DATA_SRC,EL_HEAD,EL_APEX,EL_TOE,SLP_CNFG,D_MASS_L,D_MASS_W,D_MASS_T,TRKLENG,DAMAGE,MVMT_HIS,REMARKS,SOURCE1,SOURCE2,NCGSINVS,LAT,LONG,COMBTYPE
Process,Geohazards,DELLWOOD,Ghost Town Debris Flow,Debris Flow,,Unknown,5/6/2004,Haywood,Rich Cove Road and Ghost Town Road,0,125,NCGS,4480,0,0,Embankment - Not Road Related,1600,0,0,1600,Unknown,Occurred around 1997 (Ghost Town employee); can be identified on 1992 air photo,Considerable debris and refuse in head area; many drainage pipes lead to draw,,,"RW, RL",35.53029,-83.10021,Debris Flow
Process,Blue Ridge Parkway,MONTREAT,Blackstock Knob West Slide/MRR-15,Debris Flow,,Unknown,5/12/2004,Buncombe,Blue Ridge Parkway,88,196,NCGS,6000,0,5640,Unmodified,0,150,0,1800,Unknown,Can be seen on 1998 DOQQ,Right flank of slide has trees tilted and initial sliding observed; large fissures present and material raveling off bedrock.,,,"RW, RL",35.73531,-82.31742,Debris Flow
Process,Blue Ridge Parkway,MONTREAT,Blackstock Knob East Slide/MRR-4,Debris Flow,,Unknown,5/12/2004,Buncombe,Blue Ridge Parkway,125,246,NCGS,5840,0,5600,Unmodified,0,50,800,0,New pavement on Parkway at this location,Can be identified on 1998 DOQQ,,,,"RW, RL",35.73376,-82.31536,Debris Flow
Process,Blue Ridge Parkway,DUNSMORE MOUNTAIN,DMR-10,Weathered-rock slide,,Unknown,5/19/2004,Henderson,Blue Ridge Parkway,25,120,NCGS,3920,0,0,Road Cut,20,20,10,0,Unknown,Unknown,Discordant calc silicate pods rotated in gneissic layering foliation; location approximately 800' east of Big Ridge overlook.,,,"RW, RL",35.4519,-82.7062,Weathered-rock slide
Process,Geohazards,BLACK MOUNTAIN,Copperhead Ridge Slide,Weathered-rock slide,,11/1/2003,5/20/2004,McDowell,off Crooked Creek Road,10,102,Rick Allred--LQS/NCGS,2600,0,0,Road Cut,50,100,5,0,Unable to develop 2 lots for home sites,Began moving in 11/2003 and continues to move slowly; failed again during Hurricane Frances (11/6-8/04),BLE providing geotechnical services; they intend to excavate slide material and install benches.  Head of slide at old logging road oriented at 10 degrees (same as new road); the road along the toe was installed approximately one year prior to movement.,,,"RW, RL",35.58156,-82.25394,Weathered-rock slide
Process,Geohazards,WHITTIER,Owl Branch Slide,Weathered-rock slide,,05/06-07/2003,6/15/2004,Swain,Owl Branch Road,53,128,EBCI/NCGS,2120,0,0,Road Cut,60,60,15,0,Temporarily blocked Owl Branch Rd; tree through yard at base of slide,,EBCI S-18,,,"RW, RL",35.47646,-83.33261,Weathered-rock slide
Process,Geohazards,SPRING CREEK,Long Mountain Branch Slide,Weathered-rock slide,,6/12/2004,6/14/2004,Madison,NC 209,344,81,NCGS,2000,0,0,Road Cut,25,25,2,0,Temporarily blocked road,,"Approximately 200 feet north of this location, potential rockfall block (see notes in file for details).  Block has already moved approximately 2 inches.",,,"RW, RL",35.8564,-82.84431,Weathered-rock slide
Process,Geohazards,ALARKA,Eagles Roost Slide,Creep,,Unknown,6/22/2004,Swain,992 Eagles Roost Road,280,190,NCGS,2990,0,0,Road Embankment,45,60,15,0,Arcuate cracks in asphalt drive; subsided but has not mobilized into slide/flow; road passable,,,,,"RW, RL",35.36272,-83.43178,Creep
Process,Geohazards,ALARKA,Timber Estates Slide,Debris Slide,,05/05-06/2003,6/17/2004,Swain,Timber Estates Road,113,34,EMA-Swain County,2560,0,0,Road Cut,30,16,8,0,Damage to private road,,"Swain County #13; Potentially failure in highly weathered rock between more competent rock (I.e., weathering is controlled by fractures.  Slide material pushed over road has tension cracks and appears to be beginning to fail",,,"RW, RL",35.35686,-83.42374,Debris Slide
Process,Geohazards,ALARKA,Midnight Lane Embankment Failure,Debris Flow,,05/05-06/2003,6/22/2004,Swain,Midnight Lane/Timber Estates,35,320,EMA-Swain County/NCGS,2750,0,0,Road Embankment,50,125,0,600,Removed all of private road and blocked another private road with debris,,Swain County #12; Interbedded sequence of mgw and mst (CCEA) sts.  Channel in bedrock surface corresponds to zone of increased fracture intensity.  North side of channel defined by 130 degree fracture set.,,,"RW, RL",35.35409,-83.43264,Debris Flow
