NAME,ADDRESS1,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
FIU Stadium (FIU Golden Panthers),11200 SW 8th Street, ,Miami,Dade,FL,25.75256,-80.37806,NCAAF,MFL
Orange Bowl (Miami Hurricanes),1501 NW 3rd Street, ,Miami,Dade,FL,25.77805,-80.21976,NCAAF,MFL
"Lockhart Stadium (FAU Owls, Orioles spring training facility)",5301 NW 12th Avenue, ,Fort Lauderdale,Broward,FL,26.1933,-80.16103,NCAAF,MFL
Raymond James Stadium (USF Bulls),4201 North Dale Mabry Highway, ,Tampa,Hillsborough,FL,27.97884,-82.50349,NCAAF,TBW
Florida Citrus Bowl (UCF Golden Knights),1610 West Church Street, ,Orlando,Orange,FL,28.53873,-81.40334,NCAAF,MLB
Rice Stadium (Rice Owls),Stadium Road, ,Houston,Harris,TX,29.71636,-95.41034,NCAAF,HGX
John O'Quinn Field at Robertson Stadium (Houston Cougars),Holman Street and South Street, ,Houston,Harris,TX,29.72233,-95.34916,NCAAF,HGX
Louisiana Superdome (Tulane Green Wave),1550 Sugar Bowl Drive, ,New Orleans,Orleans,LA,29.95116,-90.08128,NCAAF,LIX
Cajun Field (The Swamp) (University of Louisiana at Lafayette),201 Reinhardt Drive, ,Lafayette,Lafayette,LA,30.21619,-92.04189,NCAAF,LCH
Darrell K. Royal Texas Memorial Stadium/Jamail Field (Texas Longhor,405 East 23rd Street, ,Austin,Travis,TX,30.28357,-97.73272,NCAAF,EWX
Tiger Stadium (LSU Tigers),2121 Trumbull Street, ,Baton Rouge,East Baton Rouge,LA,30.4148,-91.1848,NCAAF,LIX
Ben Hill Griffin Field (Florida Gators),North South Drive, ,Gainesville,Alachua,FL,29.65037,-82.34815,NCAAF,JAX
Kyle Field (Texas A&M Aggies),Joe Routt Boulevard, ,College Station,Brazos,TX,30.60949,-96.34039,NCAAF,HGX
Doak Campbell Stadium (Florida State Seminoles),Stadium Drive West, ,Tallahassee,Leon,FL,30.4377,-84.30433,NCAAF,TAE
Floyd Casey Stadium (Baylor Bears),South 32nd Street and Flint Avenue, ,Waco,McLennan,TX,31.52946,-97.14886,NCAAF,FWD
M. M. Roberts Stadium (Southern Miss Golden Eagles),College Drive and Eagle Walk, ,Hattiesburg,Forrest,MS,31.32738,-89.33095,NCAAF,JAN
Movie Gallery Veterans Stadium (Troy State Trojans),100 George Wallace Drive, ,Troy,Pike,AL,31.80042,-85.95568,NCAAF,BMX
"Sun Bowl (UTEP Miners, Sun Bowl)",Sun Bowl Drive, ,El Paso,El Paso,TX,31.77303,-106.5082,NCAAF,EPZ
Joe Aillet Stadium (Louisiana Tech Bulldogs),Tech Stadium Boulevard, ,Ruston,Lincoln,LA,32.53202,-92.65577,NCAAF,SHV
Malone Stadium (University of Louisiana at Monroe Indians),Stadium Drive abd Northeast Drive, ,Monroe,Ouachita,LA,32.53186,-92.06381,NCAAF,SHV
Amon G. Carter Stadium (TCU Horned Frogs),2800 South University Drive, ,Fort Worth,Tarrant,TX,32.70939,-97.36787,NCAAF,FWD
Aggie Memorial Stadium (New Mexico State Aggies),Main Street and Payne Street, ,Las Cruces,Dona Ana,NM,32.27942,-106.74143,NCAAF,EPZ
Gerald J. Ford Stadium (SMU Mustangs),Mockingbird Lane and Airline Road, ,Dallas,Dallas,TX,32.83815,-96.78267,NCAAF,FWD
Jordan-Hare Stadium (Auburn Tigers),Roosevelt Drive and Donahue Drive, ,Auburn,Lee,AL,32.60221,-85.48887,NCAAF,BMX
Fouts Field (North Texas Mean Green),898 Avenue E, ,Denton,Denton,TX,33.20908,-97.15778,NCAAF,FWD
Arizona Stadium (Arizona Wildcats),North National Champion Drive, ,Tucson,Pima,AZ,32.22896,-110.94885,NCAAF,TWC
Bryant-Denny Stadium (Alabama Crimson Tide),950 Paul W. Bryant Drive, ,Tuscaloosa,Tuscaloosa,AL,33.20765,-87.55017,NCAAF,BMX
Davis Wade Stadium at Scott Field (Mississippi State Bulldogs),B S Hood Road and Barr Avenue, ,Mississippi State,Oktibbeha,MS,33.45632,-88.79345,NCAAF,JAN
Jones SBC Stadium (Texas Tech Raiders),Brownfield Highway and 4th Street, ,Lubbock,Lubbock,TX,33.59125,-101.87296,NCAAF,LUB
Legion Field (UAB Blazers),400 Graymount Avenue W, ,Birmingham,Jefferson,AL,33.51144,-86.84314,NCAAF,BMX
Bobby Dodd Stadium (Georgia Tech Yellow Jackets),155 North Avenue NW, ,Atlanta,Fulton,GA,33.77264,-84.39256,NCAAF,FFC
Vaught-Hemingway Stadium/Hollingsworth Field (Old Miss Rebels),All American Drive and Hill Drive, ,Oxford,Lafayette,MS,34.3617,-89.53375,NCAAF,MEG
Sun Devil Stadium (Arizona State Sun Devils),400 East Stadium Drive, ,Tempe,Maricopa,AZ,33.42713,-111.93264,NCAAF,PSR
Sanford Stadium (Georgia Bulldogs),Sanford Drive, ,Athens,Clarke,GA,33.94972,-83.37326,NCAAF,FFC
