NAME,ADDRESS,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
 Oak Ridge Country Club, 150 Gum Hollow Rd, (865) 483-1031, Oak Ridge,, TN,35.98248,-84.327086,GC,MRX
 TN Centennial Golf Course, 101 Centennial Dr, (865) 483-2291, Oak Ridge,, TN,36.01793,-84.178123,GC,MRX
 Fall Creek Falls State Park Golf Course, 2009 Village Camp Road Route 3, (423) 881-5706, Pikeville,, TN,35.621463,-85.22179,GC,MRX
 Green Meadow Country Club, 1700 Louisville Rd, (865) 982-0391, Alcoa,, TN,35.78443,-83.999912,GC,MRX
 Lambert Acres Golf Club-Beast West Course, 4411 Legneds Way, (865) 984-4260, Maryville,, TN,35.73468,-84.00994,GC,MRX
 Lambert Acres Golf Club-Orange/Red Course, 3402 Tuckaleechee Pike, (865) 982-9838, Maryville,, TN,35.752513,-83.888693,GC,MRX
 The Golf Club, 802 Lee Shirley Rd, (865) 856-4400, Maryville,, TN,35.626743,-84.15232,GC,MRX
 Royal Oaks Golf Course, 3705 Lengends Way, (865) 984-4260, Maryville,, TN,35.673205,-84.083888,GC,MRX
 Egwani Farms Golf Course, 3920 Singleton Station Rd, (865) 970-7132, Rockford,, TN,35.829562,-83.951224,GC,MRX
 Pine Lakes Golf Club, 4101 Singleton Station Rd, (865) 970-9018, Rockford,, TN,35.834478,-83.956442,GC,MRX
 Laurel Valley Country Club, 702 Country Club Dr, (865) 738-3134, Townsend,, TN,35.670001,-83.80848,GC,MRX
 Cherokee Springs Golf Course, 3855 Dalton Pike, (423) 559-3348, Cleveland,, TN,35.104193,-84.868183,GC,MRX
 Cleveland Country Club, 345 Kyle Ln, (423) 336-3566, Cleveland,, TN,35.140802,-84.892189,GC,MRX
 Flagstone Championship Golf Course, 4179 Benton Pike, (423) 339-9748, Cleveland,, TN,35.171355,-84.78391,GC,MRX
 The Greens at Deerfield, 1001 The Clubhouse Dr, (423) 566-0040, LaFollette,, TN,36.407963,-84.10331,GC,MRX
 LaFollette Country Club, 317 Country Club Rd, (423) 562-9130, LaFollette,, TN,36.385581,-84.101,GC,MRX
 Elizabethton Municipal Golf Course, 185 Buck Van Huss Dr, (423) 542-8051, Elizabethton,, TN,36.318829,-82.268203,GC,MRX
 Johnson City Country Club, 1903 E Unaka Ave, (423) 928-5161, Johnson City,, TN,36.341365,-82.336837,GC,MRX
 Pine Oaks Golf Club, 1790 Buffalo Rd, (423) 926-5451, Johnson City,, TN,36.299892,-82.346847,GC,MRX
 Woodlake Golf Club, 330 Woodlake Blvd, (423) 626-6010, Tazewell,, TN,36.400529,-83.558394,GC,MRX
 Smokey Mountain Country Club, 1220 Golf Course Rd, (423) 623-7321, Newport,, TN,35.930894,-83.18867,GC,MRX
