NAME,ADDRESS,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
Sun Life Stadium,2267 North West 199th Street, ,Miami,Dade,FL,25.95801,-80.23889,NFL,MFL
Raymond James Stadium,4201 North Dale Mabry Highway, ,Tampa,Hillsborough,FL,27.97884,-82.50349,NFL,TBW
Reliant Stadium,8299 Kirby Drive, ,Houston,Harris,TX,29.68493,-95.41092,NFL,HGX
Louisiana Superdome,1550 Sugar Bowl Drive, ,New Orleans,Orleans,LA,29.95116,-90.08128,NFL,LIX
Jacksonville Municipal Stadium,1 Stadium Place, ,Jacksonville,Duval,FL,30.32387,-81.6369,NFL,JAX
Cowboys Stadium,900 East Randol Mill Road, ,Arlington,Tarrant,TX,32.74778,-97.09277,NFL,FWD
Georgia Dome,1 Georgia Dome Drive NW, ,Atlanta,Fulton,GA,33.75735,-84.40121,NFL,FFC
University of Phoenix Stadium,1 Cardinals Drive, ,Glendale,Maricopa,AZ,33.52713,-112.25876,NFL,PSR
Qualcomm Stadium,9449 Friars Road, ,San Diego,San Diego,CA,32.78322,-117.11976,NFL,SGX
Bank of America Stadium,800 South Mint Street, ,Charlotte,Mecklenburg,NC,35.22584,-80.85331,NFL,GSP
LP Field,1 Titan Way, ,Nashville,Davidson,TN,36.16654,-86.77252,NFL,OHX
Edward Jones Dome,701 Convention Plaza, ,Saint Louis,Saint Louis City,MO,38.63278,-90.18854,NFL,LSX
Arrowhead Stadium,1 Arrowhead Drive, ,Kansas City,Jackson,MO,39.04895,-94.48388,NFL,EAX
Paul Brown Stadium,1 Paul Brown Stadium, ,Cincinnati,Hamilton,OH,39.09532,-84.51623,NFL,ILN
Invesco Field at Mile High,1701 Bryant Street, ,Denver,Denver,CO,39.74396,-105.02028,NFL,BOU
Lucas Oil Stadium,500 South Capitol Avenue, ,Indianapolis,Marion,IN,39.76,-86.16361,NFL,IND
FedEx Field,1600 FedEx Way, ,Landover,Prince George's,MD,38.90778,-76.86444,NFL,LWX
Oakland-Alameda County Coliseum,7000 Coliseum Way, ,Oakland,Alameda,CA,37.75233,-122.1999,NFL,MTR
Candlestick Park,602 Jamestown Avenue, ,San Francisco,San Francisco,CA,37.71399,-122.38673,NFL,MTR
M&T Bank Stadium,1101 Russell Street, ,Baltimore,Baltimore City,MD,39.2779,-76.6227,NFL,LWX
Heinz Field,100 Art Rooney Avenue, ,Pittsburgh,Allegheny,PA,40.44673,-80.01574,NFL,PBZ
Lincoln Financial Field,1020 Pattison Avenue, ,Philadelphia,Philadelphia,PA,39.90147,-75.16729,NFL,PHI
Soldier Field,1410 South Museum Campus Drive, ,Chicago,Cook,IL,41.8625,-87.61677,NFL,LOT
Cleveland Browns Stadium,100 Alfred Lerner Way, ,Cleveland,Cuyahoga,OH,41.50618,-81.69962,NFL,CLE
Meadowlands Stadium,50 State Highway 120, ,East Rutherford,Bergen,NJ,40.81361,-74.07444,NFL,OKX
Ford Field,2000 Brush Street, ,Detroit,Wayne,MI,42.34005,-83.04564,NFL,DTX
Ralph Wilson Stadium,1 Bills Drive, ,Orchard Park,Erie,NY,42.77379,-78.78679,NFL,BUF
Gillette Stadium,1 Patriot Place, ,Foxboro,Norfolk,MA,42.09188,-71.26491,NFL,BOX
Lambeau Field,1265 Lombardi Avenue, ,Green Bay,Brown,WI,44.50117,-88.06223,NFL,GRB
Hubert H. Humphrey Metrodome,900 South 5th Street, ,Minneapolis,Hennepin,MN,44.97401,-93.25848,NFL,MPX
Qwest Stadium,800 Occidental Avenue South, ,Seattle,King,WA,47.59476,-122.33165,NFL,SEW
