NAME,ADDRESS,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
 Andersonville, 4134 Andersonville HWY, (865) 494-7180, Andersonville,, TN,36.203338,-84.029278,PO,MRX
 Briceville, 1401 Briceville Hwy, (865) 426-4115, Briceville,, TN,36.182883,-84.183791,PO,MRX
 Clinton, 1121 N Charles G Seivers Blvd, (865) 457-3290, Clinton,, TN,36.117749,-84.117913,PO,MRX
 Lake City, 220 2nd St, (865) 426-2453, Lake City,, TN,36.220169,-84.154252,PO,MRX
 Norris, 11 W Norris Rd, (865) 494-7777, Norris,, TN,36.196868,-84.070561,PO,MRX
 Oak Ridge, 301 S Tulane Ave, (865) 482-2750, Oak Ridge,, TN,36.009333,-84.256417,PO,MRX
 Oak Ridge (Jackson Sqaure), 108 Administration Rd, (865) 481-0471, Oak Ridge,, TN,36.024531,-84.238961,PO,MRX
 Pikeville, 3372 Main St, (423) 447-2011, Pikeville,, TN,35.609018,-85.188186,PO,MRX
 Alcoa, 108 S Hall Rd, (865) 982-4569, Alcoa,, TN,35.766678,-83.972696,PO,MRX
 Friendsville, 105 S Morgan St, (865) 995-2317, Friendsville,, TN,35.760932,-84.135054,PO,MRX
 Louisville, 2948 Topside Rd, (865) 982-9178, Louisville,, TN,35.818002,-84.029518,PO,MRX
 Maryville, 226 Keller Ln, (865) 982-9057, Maryville,, TN,35.73847,-83.99247,PO,MRX
 Maryville (Maryville College), 502 E Lamar Alexander Pkwy, (865) 981-8082, Maryville,, TN,35.754954,-83.96091,PO,MRX
 Rockford, 3902 Little River Rd, (865) 977-8337, Rockford,, TN,35.83446,-83.943606,PO,MRX
 Townsend, 118 Town Square Dr, (865) 448-6311, Townsend,, TN,35.680298,-83.739927,PO,MRX
 Walland, 5319 E Lamar Alexander Pkwy, (865) 984-3031, Walland,, TN,35.730363,-83.816728,PO,MRX
 Charelston, 8916 Himassee St, (423) 336-3491, Charelston,, TN,35.285164,-84.759761,PO,MRX
 Cleveland (Downtown), 155 Broad St NW, (423) 614-5280, Cleveland,, TN,35.160732,-84.876436,PO,MRX
 Cleveland (Lee University), 1120 N Ocoee St, (423) 472-6597, Cleveland,, TN,35.165666,-84.872408,PO,MRX
 Clevlend, 1981 Keith St NW, (423) 614-5280, Clevlend,, TN,35.175023,-84.877546,PO,MRX
 MC Donald, 4980 S Lee Hwy, (423) 476-4042, MC Donald,, TN,35.111152,-84.988945,PO,MRX
 Caryville, 107 Hill Ln, (423) 562-3243, Caryville,, TN,36.298447,-84.218125,PO,MRX
 Jacksboro, 424 Main St Ste 100, (423) 562-8818, Jacksboro,, TN,36.331513,-84.179857,PO,MRX
 Jellico, 368 N Main St, (423) 784-6555, Jellico,, TN,36.587325,-84.129162,PO,MRX
 La Follette, 1221 E Central Ave, (423) 562-2431, La Follette,, TN,36.388402,-84.103698,PO,MRX
 Pioneer, 2444 Howard Baker Hwy, (423) 784-6942, Pioneer,, TN,36.39721,-84.273291,PO,MRX
 Elizabethton, 901 W Elk Ave, (423) 543-1224, Elizabethton,, TN,36.348923,-82.240221,PO,MRX
 Hampton, 433 Highway 321, (423) 725-2177, Hampton,, TN,36.285854,-82.165755,PO,MRX
 Milligan (Milligan College), 101 Neth Dr, (423) 929-0837, Milligan,, TN,36.300014,-82.294397,PO,MRX
 Roan Mountain, 8060 Highway 19 E, (423) 772-3014, Roan Mountain,, TN,36.201397,-82.075953,PO,MRX
 Watauga, 105 N 2nd, (423) 926-8216, Watauga,, TN,36.369415,-82.293937,PO,MRX
 Arthur, 1030 Highway 63, (423) 869-3120, Arthur,, TN,36.549658,-83.666101,PO,MRX
 Clairfield, 5671 Highway 90, (423) 784-6773, Clairfield,, TN,36.558493,-83.941867,PO,MRX
 Cumberland Gap, 530 Colwyn Ave, (423) 869-4238, Cumberland Gap,, TN,36.599576,-83.667774,PO,MRX
 Eagan, 4183 Highway 90, (423) 784-2190, Eagan,, TN,36.555023,-83.975901,PO,MRX
 Harrogate, 6690 Cumberland Gap Pkwy, (423) 869-5857, Harrogate,, TN,36.572641,-83.652864,PO,MRX
 New Tazewell, 855 Main St, (423) 626-0201, New Tazewell,, TN,36.445333,-83.586548,PO,MRX
 Lone Mountain, 2321 Lone Mountain Rd, (423) 626-3367, Lone Mountain,, TN,36.388282,-83.593821,PO,MRX
 Pruden, 245 Pruden Rd, (423) 784-3864, Pruden,, TN,36.586416,-83.90096,PO,MRX
 Speedwell, 7669 Highway 63, (423) 566-6449, Speedwell,, TN,36.459302,-83.878113,PO,MRX
 Tazewell, 1710 Main St, (423) 626-3219, Tazewell,, TN,36.452923,-83.570009,PO,MRX
 Bybee, 1580 Highway 160, (423) 623-5605, Bybee,, TN,36.047743,-83.178309,PO,MRX
 Cosby, 4402 Hooper Hwy, (423) 487-2421, Cosby,, TN,35.793459,-83.235668,PO,MRX
 Del Rio, 3150 Highway 25 70 E, (423) 623-6082, Del Rio,, TN,35.927099,-83.020042,PO,MRX
 Hartford, 3603 Hartford Rd, (423) 487-2180, Hartford,, TN,35.81597,-83.144972,PO,MRX
 Newport, 265 Cosby Hwy, (423) 623-6136, Newport,, TN,35.964744,-83.194245,PO,MRX
 Parrottsville, 2053 Highway 321, (423) 623-5500, Parrottsville,, TN,36.008667,-83.0913,PO,MRX
 Bean Station, 340 Main St, (865) 993-2599, Bean Station,, TN,36.345541,-83.294086,PO,MRX
 Blaine, 1006 Rutledge Pike, (865) 993-6521, Blaine,, TN,36.15539,-83.703512,PO,MRX
 Rutledge, 7841 Rutledge Pike, (865) 828-4600, Rutledge,, TN,36.279619,-83.522456,PO,MRX
 Thorn Hill, 108 Old Mountain Rd, (877) 767-2500, Thorn Hill,, TN,36.359942,-83.414364,PO,MRX
 Washburn, 8110 Highway 131, (865) 497-2518, Washburn,, TN,36.293959,-83.591673,PO,MRX
 Afton, 432 Afton Rd, (423) 639-9998, Afton,, TN,36.193324,-82.737627,PO,MRX
 Chuckey, 8140 E Andrew Johnson Hwy, (423) 257-5325, Chuckey,, TN,36.220121,-82.702826,PO,MRX
 Greeneville, 220 W Summer St, (423) 787-2177, Greeneville,, TN,36.163194,-82.833925,PO,MRX
 Greeneville (Tusculum College), 60 Shiloh Rd, (423) 636-7308, Greeneville,, TN,36.174219,-82.759754,PO,MRX
 Mohawk, 2250 Phillpi Rd, (423) 235-6498, Mohawk,, TN,36.201603,-83.052757,PO,MRX
 Mosheim, 9280 W Andrew Johnson Hwy, (423) 422-7221, Mosheim,, TN,36.18772,-82.975608,PO,MRX
 Morristown, 803 S Cumberland St, (423) 581-5572, Morristown,, TN,36.20641,-83.287109,PO,MRX
 Morristown (Henry Street), 134 N Henry St, (423) 581-5572, Morristown,, TN,36.213659,-83.294178,PO,MRX
 Russellville, 5645 E Andrew Johnson Hwy, (423) 586-7387, Russellville,, TN,36.253186,-83.204677,PO,MRX
 Talbott, 7225 W Anderw Johnson Hwy, (423) 587-2588, Talbott,, TN,36.161014,-83.417146,PO,MRX
 Whitesburg, 7800 E Andrew Johnson Hwy, (423) 235-2240, Whitesburg,, TN,36.271458,-83.141865,PO,MRX
 Apison, 4498 Bill Jones Rd, (423) 236-4717, Apison,, TN,35.016027,-85.027758,PO,MRX
 Bakewell, 15117 Dayton Pike, (423) 332-2927, Bakewell,, TN,35.384034,-85.108974,PO,MRX
 Birchwood, 5505 Highway 60, (423) 961 2404, Birchwood,, TN,35.361866,-84.991846,PO,MRX
 Chattanooga (Chickamauga), 7610 E Brainerd Rd, (423) 510-0759, Chattanooga,, TN,35.011931,-85.158284,PO,MRX
 Chattanooga (Downtown), 900 Georgia Ave Rm 100, (423) 276-1609, Chattanooga,, TN,35.045721,-85.308267,PO,MRX
 Chattanooga (East), 2200 Amnicola Hwy, (423) 629-6652, Chattanooga,, TN,35.07018,-85.269647,PO,MRX
 Chattanooga (Eastgate), 711 Eastgate Loop, (423) 296-6912, Chattanooga,, TN,35.007038,-85.210337,PO,MRX
 Chattanooga (East Lake), 2600 E 34th St, (423) 698-7641, Chattanooga,, TN,35.002533,-85.282426,PO,MRX
 Chattanooga (East Ridge), 1510 Maxwell Rd, (423) 296-1476, Chattanooga,, TN,34.990958,-85.228755,PO,MRX
 Chattanooga (Highland Park), 511 S Hawthorne St, (423) 622-9365, Chattanooga,, TN,35.034691,-85.277074,PO,MRX
 Chattanooga ( Main Office), 6050 Shallowford Rd, (423) 499-8294, Chattanooga,, TN,35.052355,-85.186172,PO,MRX
 Chattanooga (Murray Lake Hills), 4420 Oakwood Dr, (423) 499-9662, Chattanooga,, TN,35.088094,-85.18413,PO,MRX
 Chattanooga (North), 124 N Market St, (423) 265-4302, Chattanooga,, TN,35.063856,-85.30871,PO,MRX
 Chattanooga (Red Bank), 3317 Dayton Blvd, (423) 875-8282, Chattanooga,, TN,35.110298,-85.295412,PO,MRX
 Chattanooga (South), 1101 W 40th St, (423) 821-1194, Chattanooga,, TN,35.008276,-85.321701,PO,MRX
 Collegedale, 5006 University Dr W, (423) 396-9498, Collegedale,, TN,35.043783,-85.050683,PO,MRX
 Harrison, 6301 Highway 58, (423) 326-2928, Harrison,, TN,35.124175,-85.125935,PO,MRX
 Hixon, 302 Northgate Mall Dr, (423) 876-7362, Hixon,, TN,35.133898,-85.241743,PO,MRX
 Lookout Mountain, 824 Scenic Hwy, (423) 822-7165, Lookout Mountain,, TN,34.990707,-85.35385,PO,MRX
 Ooltewah, 9310 Ocoee St, (423) 238-7776, Ooltewah,, TN,35.075236,-85.062416,PO,MRX
 Signal Mountain, 1155 Ridgeway Ave, (423) 517-9328, Signal Mountain,, TN,35.137872,-85.331601,PO,MRX
 Soddy Daisy, 10575 Dayton Pike, (423) 332-7118, Soddy Daisy,, TN,35.264694,-85.175668,PO,MRX
 Sneedville, 1314A Main St, (423) 733-2242, Sneedville,, TN,36.525494,-83.27685,PO,MRX
 Bulls Gap, 410 Highway 11, (423) 235-2100, Bulls Gap,, TN,36.256734,-83.086645,PO,MRX
 Church Hill, 131 E Main Blvd, (423) 357-5239, Church Hill,, TN,36.522891,-82.710914,PO,MRX
 Mooresburg, 110 Loretta Ln, (423) 272-2253, Mooresburg,, TN,36.34532,-83.242075,PO,MRX
 Mount Carmel, 100 Main St, (423) 357-3311, Mount Carmel,, TN,36.545958,-82.654616,PO,MRX
 Rogersville, 203 W Main St, (423) 272-8096, Rogersville,, TN,36.406734,-83.008437,PO,MRX
 Surgoinsville, 111 Bellamy Ave, (423) 345-3211, Surgoinsville,, TN,36.468619,-82.852787,PO,MRX
 Dandridge, 1130 Academy Cir, (865) 397-2150, Dandridge,, TN,36.016671,-83.417403,PO,MRX
 Jefferson City, 101 E Old Andrew Johnson Hwy, (865) 475-2955, Jefferson City,, TN,36.125828,-83.49204,PO,MRX
 New Market, 911 W Highway 11E, (865) 471-0168, New Market,, TN,36.101639,-83.549424,PO,MRX
 Strawberry Plains, 2704 W Highway 11E, (865) 933-3821, Strawberry Plains,, TN,36.067627,-83.670014,PO,MRX
 White Pine, 1559 Main St, (865) 674-2403, White Pine,, TN,36.106154,-83.289933,PO,MRX
 Butler, 211 Piercetown Rd, (423) 768-2231, Butler,, TN,36.353575,-82.032149,PO,MRX
 Laurel Bloomery, 7131 Highway 91 N, (423) 727-7377, Laurel Bloomery,, TN,36.566733,-81.759589,PO,MRX
 Mountain City, 216 College St, (423) 727-6201, Mountain City,, TN,36.476128,-81.805838,PO,MRX
 Shady Valley, 136 Highway 133, (423) 739-2073, Shady Valley,, TN,36.519643,-81.92824,PO,MRX
 Trade, 164 Highway 67 N, (423) 727-8211, Trade,, TN,36.349798,-81.744601,PO,MRX
 Corryton, 7713 Corryton Rd, (865) 687-3652, Corryton,, TN,36.153673,-83.778901,PO,MRX
 Heiskell, 9437 Heiskell Rd, (865) 938-2170, Heiskell,, TN,36.082527,-84.054747,PO,MRX
 Knoxville (Burlington), 300 Macedonia Ln, (865) 525-1901, Knoxville,, TN,36.004762,-83.860824,PO,MRX
 Knoxville  (Cedar Bluff), 9039 Cross Park Dr, (865) 693-4751, Knoxville,, TN,35.923407,-84.083595,PO,MRX
 Knoxville (Concord), 124 Huxley Rd, (865) 671--2307, Knoxville,, TN,35.895686,-84.132823,PO,MRX
 Knoxville (Downtown), 501 W Main St, (865) 525-4683, Knoxville,, TN,35.960952,-83.918417,PO,MRX
 Knoxville (Farragut), 11409 Municipal Center Dr, (865) 671-3475, Knoxville,, TN,35.879052,-84.161073,PO,MRX
 knoxville  (Fountain City), 131 Lynnwood Dr, (865) 687-7985, knoxville,, TN,36.035647,-83.930667,PO,MRX
 Knoxville  (Halls), 7450 Maynardville Pike, (865) 925-0155, Knoxville,, TN,36.087587,-83.923799,PO,MRX
 Knoxville (Karns), 7544 Oak Ridge Hwy, (865) 690-2066, Knoxville,, TN,35.981429,-84.095948,PO,MRX
 Knoxville (Main Office), 1237 E Weisgarber Rd, (865) 558-4629, Knoxville,, TN,35.947276,-84.013244,PO,MRX
 Knoxville (North), 2600 N Broadway St, (865) 525-2039, Knoxville,, TN,35.995863,-83.922423,PO,MRX
 Knoxville (Norwood), 5727 Clinton Hwy, (865) 687-9579, Knoxville,, TN,36.005811,-83.987333,PO,MRX
 Knoxville  (South), 137 E Young High Pike, (865) 573-4871, Knoxville,, TN,35.935071,-83.904845,PO,MRX
 Knoxville (Univ of Tenn), 1502 Cumberland Ave, (865) 974-5407, Knoxville,, TN,35.957891,-83.928653,PO,MRX
 Knoxville (West), 4434 Southerland Ave, (865) 583-0206, Knoxville,, TN,35.9366,-83.993846,PO,MRX
 Mascot, 1925 Number 2 Dr, (865) 933-6511, Mascot,, TN,36.06196,-83.741655,PO,MRX
 Powell, 3239 Shropshire Blvd, (865) 947-4880, Powell,, TN,36.024323,-84.049127,PO,MRX
 Greenback, 6726 Morganton Rd, (865) 856-3523, Greenback,, TN,35.661439,-84.171395,PO,MRX
 Lenoir City, 501 Adessa Pkwy, (865) 988-6130, Lenoir City,, TN,35.826475,-84.276427,PO,MRX
 Lenoir City (Main Office), 217 E Broadway St, (865) 986-9257, Lenoir City,, TN,35.792434,-84.264349,PO,MRX
 Loudon, 100 Green St, (865) 458-7934, Loudon,, TN,35.743856,-84.335252,PO,MRX
 Philadelphia, 22730 W Lee Hwy, (865) 458-3306, Philadelphia,, TN,35.676555,-84.402077,PO,MRX
 Guild, 11360 Highway 41, (423) 942-3599, Guild,, TN,35.031581,-85.534868,PO,MRX
 Jasper, 3739 Main St, (423) 942-2107, Jasper,, TN,35.070189,-85.635599,PO,MRX
 South Pittsburg, 303 Elm Ave, (423) 837-6051, South Pittsburg,, TN,35.012299,-85.705908,PO,MRX
 Sequatchie, 3670 Valley View Hwy, (423) 942-2560, Sequatchie,, TN,35.11279,-85.593133,PO,MRX
 Whiteside, 3725 Highway 134, (423) 821-2376, Whiteside,, TN,34.989706,-85.4968,PO,MRX
 Athens, 202 S White St, (423) 746-4427, Athens,, TN,35.440592,-84.593159,PO,MRX
 Calhoun, 748 Highway 163, (423) 336-2331, Calhoun,, TN,35.295424,-84.747429,PO,MRX
 Englewood, 17 S Niota Rd, (423) 887-7275, Englewood,, TN,35.426536,-84.488163,PO,MRX
 Etowah, 517 Tennessee Ave, (423) 263-7339, Etowah,, TN,35.326647,-84.52351,PO,MRX
 Niota, 102 E Main St, (423) 568-2590, Niota,, TN,35.515002,-84.547338,PO,MRX
 Riceville, 3804 Highway 11 S, (423) 462-2587, Riceville,, TN,35.38143,-84.695031,PO,MRX
 Decatur, 200 River Rd, (423) 334-5247, Decatur,, TN,35.519535,-84.791297,PO,MRX
 Georgetown, 8405 Highway 60, (423) 339-2521, Georgetown,, TN,35.290514,-84.947096,PO,MRX
 Ten Mile, 2640 State Highway 304, , Ten Mile,, TN,35.659847,-84.735593,PO,MRX
 Coker Creek, 12199 New Highway 68, (423) 261-2286, Coker Creek,, TN,35.259213,-84.290156,PO,MRX
 Madisonville, 161 Warren St, (423) 442-3647, Madisonville,, TN,35.519759,-84.359425,PO,MRX
 Sweetwater, 701 N Main St, (423) 337-7041, Sweetwater,, TN,35.601634,-84.46112,PO,MRX
 Tellico Plains, 171 Bank St, (423) 253-2218, Tellico Plains,, TN,35.372066,-84.301554,PO,MRX
 Vonore, 1117 Highway 411, (423) 884-6391, Vonore,, TN,35.589705,-84.237888,PO,MRX
 Coalfield, 5707 Knoxville Hwy, (865) 435-1293, Coalfield,, TN,36.033928,-84.414187,PO,MRX
 Deer Lodge, 2211 Deer Lodge Hwy, (423) 956-3575, Deer Lodge,, TN,36.197003,-84.762823,PO,MRX
 Lancing, 1206 Nashville Hwy, (423) 346-6467, Lancing,, TN,36.121994,-84.65415,PO,MRX
 Oakdale, 320 E Main St, (423) 369-9311, Oakdale,, TN,35.985669,-84.554861,PO,MRX
 Petros, 208 Main St, (423) 324-5095, Petros,, TN,36.095717,-84.441976,PO,MRX
 Rugby Commissary, 5569 Rugby Hwy, (423) 627-2390, Rugby,, TN,36.362836,-84.707819,PO,MRX
 Sunbright, 8129 Morgan Co Hwy, (423) 628-2398, Sunbright,, TN,36.24494,-84.670656,PO,MRX
 Wartburg, 110 N Maiden St, (423) 346-6303, Wartburg,, TN,36.105111,-84.598291,PO,MRX
 Benton, 188 Main St, (423) 338-5021, Benton,, TN,35.172136,-84.650679,PO,MRX
 Copperhill, 145 Ocoee St, (423) 496-7712, Copperhill,, TN,34.98894,-84.371364,PO,MRX
 Delano, 9673 Highway 411, (423) 263-7282, Delano,, TN,35.261394,-84.551637,PO,MRX
 Ducktown, 1656 N Highway 68, (423) 496-5467, Ducktown,, TN,35.03497,-84.382599,PO,MRX
 Farner, 110 Underwood Dr, (423) 496-4564, Farner,, TN,35.15043,-84.315568,PO,MRX
 Ocoee, 3754 Highway 411, (423) 338-9805, Ocoee,, TN,35.117808,-84.722337,PO,MRX
