NAME,ADDRESS,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
ABBEVILLE PD,"106 S. MAIN ST., ABBEVILLE",864-366-5832,,ABBEVILLE,SC,34.176987,-82.378495,PD,GSP
ANDERSON PD,"401 S MAIN ST, ANDERSON 29624",864-231-2280/2272,,ANDERSON,SC,34.501377,-82.649816,PD,GSP
ASHEVILLE PD,"100 COURT PLAZA, ASHEVILLE 28802",828-252-1110,,BUNCOMBE,NC,35.595037,-82.550416,PD,GSP
BAKERSVILLE PD,"306 MITCHELL AVE., BAKERSVILLE 28705",828-688-2113,,MITCHELL,NC,36.016004,-82.155173,PD,GSP
BALDWIN PD,"130 AIRPORT RD., BALDWIN",706-776-5256,,HABERSHAM,GA,34.491989,-83.538153,PD,GSP
BANNER ELK PD,"200 PARK AVE., BANNER ELK 28604",828-898-4300,,AVERY,NC,36.16,-81.87,PD,GSP
BEECH MOUNTAIN PD,"403 BEECH MTN PKWY., BEECH MTN 28604",828-387-2342,,AVERY,NC,36.21,-81.878231,PD,GSP
BELMONT PD,"23 S. MAIN ST., BELMONT 28012",704-825-3792,,GASTON,NC,35.243817,-81.038039,PD,GSP
BELTON PD,"306 ANDERSON ST, BELTON 29627 ",864-338-8448,,ANDERSON,SC,34.521685,-82.496186,PD,GSP
BILTMORE FOREST PD,"355 VANDERBILT RD., BILTMORE FOREST 28803",828-274-0822,,BUNCOMBE,NC,35.54109,-82.536606,PD,GSP
BLACK MOUNTAIN PD,"106 MONTREAT RD, BLACK MOUNTAIN 28711",828-669-9194,,BUNCOMBE,NC,35.617986,-82.320966,PD,GSP
BLACKSBURG PD,"101 S. SHELBY ST, BLACKSBURG 29702",864-839-2331,,CHEROKEE,SC,35.121157,-81.515815,PD,GSP
BLOWING ROCK PD,"143 PARK AVE., BLOWING ROCK 28605",828-295-5210,,WATUGA,NC,36.133922,-81.679856,PD,GSP
BLUE RIDGE PUBLIC SAFETY,"4352 HWY 64, SAPPHIRE 28774",828-743-2025,,TRANSYLVANIA,NC,35.115491,-82.993872,PD,GSP
BOILING SPRINGS PD,"P.O. BOX 1014, BOILING SPRINGS 28017",704-434-9691,,CLEVELAND,NC,35.26,-81.67,PD,GSP
BREVARD PD,"151 W. MAIN ST., BREVARD 28712",828-883-2212,,TRANSYLVANIA,NC,35.234807,-82.736582,PD,GSP
BROOKFORD PD,"1700 S. CENTER ST., HICKORY 28602",828-322-4903,,CATAWBA,NC,35.705546,-81.340373,PD,GSP
BRYSON CITY PD,"200 MAIN ST., BRYSON CITY 28713",828-488-3050,,SWAIN,NC,35.427391,-83.44496,PD,GSP
BURNSVILLE PD,BURNSVILLE 28714,828-682-4683,,YANCEY,NC,35.92,-82.3,PD,GSP
CALHOUN FALLS FD/PD,"110 W. SAVANNAH ST., CALHOUN FALLS 29628",864-418-8502,,ABBEVILLE,SC,34.092026,-82.59591,PD,GSP
CAMPOBELLO PD,"208 N. MAIN ST, CAMPOBELLO 29322",864-472-2742,,SPARTANBURG,SC,35.115351,-82.151102,PD,GSP
CANON PD,"5071 HWY 17, CANON",706-245-8155,,FRANKLIN,GA,34.344306,-83.109364,PD,GSP
