NAME,ADDRESS,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
BankAtlantic Center,2555 Panther Parkway, ,Sunrise,Broward,FL,26.15807,-80.32513,NHL,MFL
St. Pete Times Forum,401 Channelside Drive, ,Tampa,Hillsborough,FL,27.94273,-82.45188,NHL,TBW
American Airlines Center,2500 Victory Avenue, ,Dallas,Dallas,TX,32.79062,-96.81043,NHL,FWD
Philips Arena,1 Philips Drive NW, ,Atlanta,Fulton,GA,33.7573,-84.39631,NHL,FFC
Jobing.com Arena,9400 West Maryland Avenue, ,Glendale,Maricopa,AZ,33.5323,-112.26133,NHL,PSR
Honda Center,2695 East Latella Avenue, ,Anaheim,Orange,CA,33.80831,-117.87681,NHL,SGX
Staples Center,1111 South Figueroa Street, ,Los Angeles,Los Angeles,CA,34.04321,-118.26716,NHL,LOX
Sommet Center,501 Broadway, ,Nashville,Davidson,TN,36.15972,-86.77893,NHL,OHX
RBC Center,1400 Edwards Mill Road, ,Raleigh,Wake,NC,35.80341,-78.72235,NHL,RAH
Scottrade Center,1401 Clark Avenue, ,Saint Louis,Saint Louis City,MO,38.62662,-90.20246,NHL,LSX
Pepsi Center,1000 Chopper Circle, ,Denver,Denver,CO,39.75,-105.01,NHL,BOU
HP Pavilion at San Jose,525 West Santa Clara Street, ,San Jose,Santa Clara,CA,37.33269,-121.90128,NHL,MTR
Verizon Center,610 F Street NW, ,Washington,District of Columbia,DC,38.89838,-77.02098,NHL,LWX
Nationwide Arena,200 West Nationwide Boulevard, ,Columbus,Franklin,OH,39.96939,-83.00581,NHL,ILN
Mellon Arena,300 Mario Lemieux Place, ,Pittsburgh,Allegheny,PA,40.44173,-79.98991,NHL,PBZ
Wachovia Center,3601 South Broad Street, ,Philadelphia,Philadelphia,PA,39.90097,-75.17218,NHL,PHI
United Center,1902 West Madison Street, ,Chicago,Cook,IL,41.88059,-87.67418,NHL,LOT
Prudential Center,751 Broad Street, ,Newark,Essex,NJ,40.81163,-74.06767,NHL,OKX
Madison Square Garden,4 Pennsylvania Plaza, ,New York,New York,NY,40.7506,-73.99378,NHL,OKX
Nassau Veterans Memorial Coliseum,1255 Hempstead Turnpike, ,Uniondale,Nassau,NY,40.72235,-73.59116,NHL,OKX
Joe Louis Arena,600 Civic Center Drive, ,Detroit,Wayne,MI,42.32527,-83.0515,NHL,DTX
HSBC Arena,1 Seymour H. Knox III Plaza, ,Buffalo,Erie,NY,42.87515,-78.87709,NHL,BUF
TD Garden,100 Legends Way, ,Boston,Suffolk,MA,42.36653,-71.06206,NHL,BOX
Xcel Energy Center,199 Kellogg Boulevard West, ,Saint Paul,Ramsey,MN,44.94495,-93.10169,NHL,MPX
