NAME,ADDRESS,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
Homestead-Miami Speedway,1 Speedway Boulevard, ,Homestead,Dade,FL,25.45216,-80.40856,NASCAR,MFL
Daytona Beach International Speedway,1801 West International Speedway Boulevard, ,Daytona Beach,Volusia,FL,29.1851,-81.07139,NASCAR,MLB
Texas Motor Speedway,3545 Lone Star Circle, ,Justin,Denton,TX,33.03655,-97.28223,NASCAR,FWD
Atlanta Motor Speedway,1500 Tara Place, ,Hampton,Henry,GA,33.38892,-84.31946,NASCAR,FFC
Talladega Superspeedway,3366 Speedway Boulevard, ,Talladega,Talladega,AL,33.56926,-86.06645,NASCAR,BMX
Phoenix International Raceway,7602 South 115th Avenue, ,Phoenix,Maricopa,AZ,33.37584,-112.30668,NASCAR,PSR
Memphis Motorsports Park,5500 Taylor Forge Road, ,Millington,Shelby,TN,35.27884,-89.94671,NASCAR,MEG
Darlington Raceway,1301 Harry Byrd Highway, ,Darlington,Darlington,SC,34.29535,-79.90603,NASCAR,ILM
Auto Club Speedway,9300 Cherry Avenue, ,Fontana,San Bernardino,CA,34.08889,-117.49224,NASCAR,SGX
Charlotte Motor Speedway,5555 Concord Parkway South, ,Concord,Cabarrus,NC,35.35141,-80.68221,NASCAR,GSP
Nashville Superspeedway,4847-F McCrary Road, ,Lebanon,Wilson,TN,36.04763,-86.41238,NASCAR,OHX
Bristol Motor Speedway,151 Speedway Boulevard, ,Bristol,Sullivan,TN,36.51586,-82.2578,NASCAR,MRX
Martinsville Speedway,191 Speedway Road, ,Ridgeway,Henry,VA,36.63666,-79.855,NASCAR,RNK
Las Vegas Motor Speedway,700 Las Vegas Boulevard North, ,Las Vegas,Clark,NV,36.2722,-115.00201,NASCAR,VEF
Gateway International Raceway,700 Raceway Boulevard, ,East Saint Louis,Saint Clair,IL,38.65253,-90.13641,NASCAR,LSX
Richmond International Raceway,600 East Laburnum Avenue, ,Richmond,Henrico,VA,37.59174,-77.42009,NASCAR,AKQ
Kansas Speedway,400 Speedway Boulevard, ,Kansas City,Wyandotte,KS,39.11579,-94.83095,NASCAR,EAX
Kentucky Speedway,5120 Sparta Pike, ,Sparta,Gallatin,KY,38.70981,-84.9152,NASCAR,ILN
Indianapolis Motor Speedway,4790 West 16th Street, ,Indianapolis,Marion,IN,39.7949,-86.23485,NASCAR,IND
O'Reilly Raceway Park at Indianapolis,10267 East US-136, ,Clermont,Marion,IN,39.81269,-86.34092,NASCAR,IND
Dover International Speedway,1131 North Dupont Highway, ,Dover,Kent,DE,39.19061,-75.53575,NASCAR,PHI
Infineon Raceway,29265 Arnold Drive, ,Sonoma,Sonoma,CA,38.16023,-122.43603,NASCAR,MTR
Iowa Speedway,3333 Rusty Wallace Drive, ,Newton,Jasper,IA,41.68,-93.01,NASCAR,DMX
Chicagoland Speedway,500 Speedway Boulevard, ,Joliet,Will,IL,41.47388,-88.04158,NASCAR,LOT
Michigan International Speedway,12626 US 12, ,Brooklyn,Lenawee,MI,42.05419,-84.24445,NASCAR,DTX
Pocono International Raceway,Long Pond Road (PA-115), ,Long Pond,Monroe,PA,41.05568,-75.51319,NASCAR,PHI
Milwaukee Mile,7722 West Greenfield Avenue, ,West Allis,Milwaukee,WI,43.02018,-88.01063,NASCAR,MKX
Watkins Glen International,2790 CR 16, ,Watkins Glen,Schuyler,NY,42.33617,-76.92599,NASCAR,BGM
New Hampshire International Speedway,1122 Route 106 North, ,Loudon,Merrimack,NH,43.35823,-71.46727,NASCAR,GYX
