NAME,ADDRESS,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
Robertson Stadium,3874 Holman Street,,Houston,Harris,TX,30.0460459,-95.67475693,MLS,HGX
Pizza Hut Park,6000 West Main Street,,Frisco,Collin,TX,32.36649083,-97.13923864,MLS,FWD
The Home Depot Center,18400 Avalon Boulevard,,Carson,Los Angeles,CA,34.71872467,-119.3728653,MLS,LOX
Community America Ballpark,1800 Village West Parkway,,Kansas City,Wyandotte,KS,39.4890052,-93.93018966,MLS,EAX
Dick's Sporting Goods Park,6000 Victory Way,,Commerce City,Adams,CO,40.01238485,-104.5382942,MLS,BOU
Buck Shaw Stadium,500 El Camino Real,,Santa Clara,Santa Clara,CA,37.25288225,-121.8195843,MLS,MTR
RFK Memorial Stadium,2400 East Capitol Street SE,,Washington,District of Columbi,DC,38.84064833,-77.99560278,MLS,LWX
Columbus Crew Stadium,1 Black and Gold Boulevard,,Columbus,Franklin,OH,39.54199762,-83.8855713,MLS,ILN
Union Field at Chester,Seaport Drive,,Chester,Chester,PA,39.97136107,-75.21463965,MLS,PHI
Rio Tinto Stadium,9256 South State,,Sandy,Salt Lake,UT,39.49414787,-112.1047039,MLS,SLC
Toyota Park,7300 West 71st Street,,Bridgeview,Cook,IL,41.48410841,-88.25822413,MLS,LOT
Red Bull Arena,6th Street and Cape Map Street,,Harrison,Hudson,NJ,41.17745645,-73.38810795,MLS,OKX
Gillette Stadium,1 Patriot Place,,Foxboro,Norfolk,MA,42.11040152,-71.752862,MLS,BOX
Qwest Field,800 Occidental Avenue South,,Seattle,King,WA,47.66672928,-122.5397952,MLS,SEW
