NAME,ADDRESS,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
UTPA Fieldhouse (UTPA Broncos),1201 West University Drive, ,Edinburg,Hidalgo,TX,26.3052,-98.17063,NCAAB,BRO
Convocation Center (Miami Hurricanes),1245 William E. Walsh Avenue, ,Coral Gables,Dade,FL,25.71502,-80.27955,NCAAB,MFL
Pharmed Arena (Florida International Golden Panthers),11200 SW 8th Street, ,Miami,Dade,FL,25.75703,-80.37958,NCAAB,MFL
FAU Gymnasium (Florida Atlantic Owls),777 Glades Road, ,Boca Raton,Palm Beach,FL,26.37248,-80.10917,NCAAB,MFL
USF Sun Dome (South Florida Bulls),4202 East Fowler Avenue, ,Tampa,Hillsborough,FL,28.05885,-82.40661,NCAAB,TBW
UTSA Convocation Center (UTSA Roadrunners),6900 North Loop 1640 West, ,San Antonio,Bexar,TX,29.58331,-98.62321,NCAAB,EWX
UCF Arena (University of Central Florida Golden Knights),Knights Court, ,Orlando,Orange,FL,28.6076,-81.19734,NCAAB,MLB
Autry Court (Rice Owls),Main Street and University Boulevard, ,Houston,Harris,TX,29.71501,-95.40414,NCAAB,HGX
Health and Physical Education Building (Texas Southern Tigers),Ennis Street and Wheeler Street, ,Houston,Harris,TX,29.723,-95.36557,NCAAB,HGX
Hofheinz Pavilion (Houston Cougars),Holman Street, ,Houston,Harris,TX,29.72494,-95.34712,NCAAB,HGX
Strahan Coliseum (Texas State - San Marcos Bobcats),601 University Drive, ,San Marcos,Hays,TX,29.88879,-97.93273,NCAAB,EWX
Stopher Gymnasium (Nicholls State Colonels),Acadia Drive and Ellendale Drive, ,Thibadaux,LaFourche,LA,29.79254,-90.80142,NCAAB,LIX
Moore Gymnasium (Bethune-Cookman Wildcats),623 Doctor Mary McLeod Bethune Boulevard, ,Daytona Beach,Volusia,FL,29.21063,-83.03105,NCAAB,TBW
