NAME,ADDRESS,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
Inter American University of Puerto Rico-San German,Rd. 102 Km. 30.6,7872641912,San German,,PR,18.083957,-67.053808,UV,SJU
Columbia Centro Universitario,3 Betances St,7878560845,Yauco,,PR,18.03625749,-66.84926388,UV,SJU
Ponce School of Medicine,Urb Industrial Reparada Marginal St Lot 2,7878402549,Ponce,,PR,17.993242,-66.620343,UV,SJU
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,4820 Candido Hoyos Urb. Perla Del Sur,7878431305,Ponce,,PR,17.998197,-66.629202,UV,SJU
Trinity College of Puerto Rico,Avenida Hostos 834,7.87842E+12,Ponce,,PR,17.994411,-66.614885,UV,SJU
University of Puerto Rico in Ponce,2151 Santiago de los Caballeros Avenue,7878448181,Ponce,,PR,17.993314,-66.606215,UV,SJU
Pontifical Catholic University of Puerto Rico-Ponce,2250 Las Americas Ave. Suite 608,7.87841E+13,Ponce,,PR,18.00165,-66.61713803,UV,SJU
Automeca Technical College,Calle Villa No.452,7878407880,Ponce,,PR,18.010869,-66.634948,UV,SJU
Academia Serrant Inc,Concordia 8180 Esq Aurora,7872594900,Ponce,,PR,18.006327,-66.614318,UV,SJU
Escuela Tecnica de Electricidad,Villa Street #190,7878437100,Ponce,,PR,18.010437,-66.620173,UV,SJU
Caribbean University-Ponce,1015 Ave. Ceiba,7878402955,Ponce,,PR,18.012811,-66.614615,UV,SJU
Instituto Educativo Premier,CALLE ISABEL #15,7878400919,Ponce,,PR,18.01291,-66.611494,UV,SJU
Inter American University of Puerto Rico-Ponce,104 Turpo Industrial Park Rd1,7872841912,Mercedita,,PR,18.007388,-66.578498,UV,SJU
Ponce Paramedical College Inc,1213 Acacia Street Villa Flores Urb,7878481589,Ponce,,PR,18.017137,-66.592626,UV,SJU
Pontifical Catholic University of Puerto Rico-Mayaguez,482 Calle Ramon Emerito Betances  Sur,7878345151,Mayaguez,,PR,18.193323,-67.143722,UV,SJU
Emmas Beauty Academy,Calle Munoz Rivera 9 Oeste,7878330980,Mayaguez,,PR,18.199825,-67.140997,UV,SJU
Facultad de Derecho Eugenio Maria de Hostos,Calle Peral #57 Sur,7.87265E+12,Mayaguez,,PR,18.199717,-67.139639,UV,SJU
ICPR Junior College-Mayaguez,80 West McKinley St,7878326000,Mayaguez,,PR,18.2016492,-67.14196592,UV,SJU
Institucion Chaviano de Mayaguez,Calle Ramos Antonini 116 Este,7878332474,Mayaguez,,PR,18.200518,-67.134396,UV,SJU
University of Puerto Rico-Mayaguez,Post St,7878324040,Mayaguez,,PR,18.212964,-67.143911,UV,SJU
Universidad Adventista de las Antillas,Carr 106 Km 2.2 Int,78783495950,Mayaguez,,PR,18.205329,-67.112632,UV,SJU
Emmas Beauty Academy,Bo Amuelas Sector Guanabanos Carr 149 Km 5.7,7878370303,Juana Diaz,,PR,18.038901,-66.508908,UV,SJU
John Dewey College-Juana Diaz Branch,"Bo. Lomas, Road 149, Km. 67.02",78726010230,Juana Diaz,,PR,18.060017,-66.508864,UV,SJU
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,"Urb. Vives, Final",7.87864E+12,Guayama,,PR,17.976065,-66.106561,UV,SJU
Serbias Technical College,Calle Hostos # 27 Esq. Vicente Pales,7878647254,Guayama,,PR,17.976011,-66.106183,UV,SJU
Inter American University of Puerto Rico-Guayama,Bo Machete Carr 744 Km 1.2,7878642222,Guayama,,PR,17.972585,-66.094897,UV,SJU
Colegio Mayor de Tecnologia Inc,"151, Morse Street",7.8784E+11,Arroyo,,PR,17.96334136,-66.06303927,UV,SJU
John Dewey College–Arroyo Branch,"Bo. Palmas, Road 3, Km. 129.7",7872711515,Arroyo,,PR,17.974419,-66.051963,UV,SJU
Educational Technical College-Recinto De Coama,Calle Ramón Power #5,7878250370,Coamo,,PR,18.081816,-66.364369,UV,SJU
Colegio Tecnico de Electricidad Galloza,"Carr 4416 Km 2.5 Interior, in the Colegio Tecnico de Electricidad Galloza",7872520922,Aguada,,PR,18.350821,-67.160809,UV,SJU
Colegio Tecnologico y Comercial de Puerto Rico,Calle Paz 165 Altos,7878682688,Aguada,,PR,18.378655,-67.18411,UV,SJU
EDP College of Puerto Rico Inc-San Sebastian,Betances # 49,7878962137,San Sebastian,,PR,18.334858,-66.990909,UV,SJU
Educational Technical College-Recinto de san Sebastian,Calle Hosto #20,7878250370,San Sebastian,,PR,18.338411,-66.988634,UV,SJU
Institute of Beauty Occupation and Technology Course,500 Calle Concepcion Vera,7878180355,Moca,,PR,18.38728,-67.110123,UV,SJU
University of Puerto Rico-Utuado,Carr. # 10 Km. 52.2,7878942828,Utuado,,PR,18.267562,-66.701399,UV,SJU
Universal Technology College of Puerto Rico,111 Comercio St,7878822065,Aguadilla,,PR,18.42489,-67.149118,UV,SJU
Aguadilla Technical College,Barrio Caimital Alto Careterra 433,7878916966,Aguadilla,,PR,18.426203,-67.148165,UV,SJU
Instituto de Educacion Tecnica Ocupacional La Reine,Calle Mercedes Moreno #9,7878190222,Aguadilla,,PR,18.430546,-67.155035,UV,SJU
University of Puerto Rico at Cayey,205 Antonio R. Barcelo Ave.,7877382161,Cayey,,PR,18.117232,-66.163146,UV,SJU
Automeca Technical College,Parque Industrial La Montana Km09 Edif932,7878822828,Aguadilla,,PR,18.444126,-67.141456,UV,SJU
Charlie's Guard-Detective Bureau and Academy Inc,Road 107 Km 3.1 Bo. Borinquen,7878827222,Aguadilla,,PR,18.442309,-67.122768,UV,SJU
Inter American University of Puerto Rico-Barranquitas,Bo Helechal Carr 156 Interseccion 719,7.87857E+13,Barranquitas,,PR,18.182702,-66.303314,UV,SJU
D'Mart Institute,Carr 156 Km 17.1 Bo Honduras Ste 215 Centro Comerc,7872630453,Barranquitas,,PR,18.18415,-66.295454,UV,SJU
Inter American University of Puerto Rico-Aguadilla,Barrio Corrales Sector Calero,7.87891E+13,Aguadilla,,PR,18.467886,-67.121671,UV,SJU
Century College,Calle Progreso #125,7878825086,Aguadilla,,PR,18.458497,-67.034193,UV,SJU
University of Puerto Rico-Aguadilla,Belt St.,7878902681,Ramey,,PR,18.498652,-67.13793,UV,SJU
Escuela de Peritos Electricitas de Isabela,1059 Calle Surinam Pr 112 Norte,7878304267,Isabela,,PR,18.49706,-67.026567,UV,SJU
University of Puerto Rico-Humacao,100 Road 908,7878500000,Humacao,,PR,18.14449,-65.831305,UV,SJU
MyrAngel Beauty Institute,Calle Munoz Rivera #57 Sur,7877360435,San Lorenzo,,PR,18.189564,-65.960889,UV,SJU
San Juan Bautista School of Medicine,Carretera 172  Urb. Turabo Gardens,7.87743E+12,Caguas,,PR,18.220528,-66.050389,UV,SJU
Humacao Community College,Georgetti St. #69,7878521430,Humacao,,PR,18.148339,-65.826368,UV,SJU
Industrial Technical College,No 16 Carreras St,7878528806,Humacao,,PR,18.149301,-65.828598,UV,SJU
Ryder Memorial School for Practical Nursing,Calle Font Martelo #355,7.87656E+13,Humacao,,PR,18.150767,-65.827753,UV,SJU
Centro de Estudios Multidisciplinarios,6 Dr Vidal St,7878508333,Humacao,,PR,18.148771,-65.821107,UV,SJU
Columbia Centro Universitario,Carr 183 Km 1.7,7.87743E+12,Caguas,,PR,18.202685,-65.978075,UV,SJU
Mech-Tech College LLC,Num 39-40 B St W Industrial Pk,7.87744E+13,Caguas,,PR,18.237102,-66.053276,UV,SJU
Liceo de Arte-Dise-O y Comercio,42-49 Acosta St,7.87744E+11,Caguas,,PR,18.23309966,-66.03406123,UV,SJU
Hispanic American College,Calle Ruiz Belvis #52-54,7872584758,Caguas,,PR,18.238415,-66.042556,UV,SJU
Huertas Junior College,#41 Hector R Bunker  St,7.87746E+13,Caguas,,PR,18.238505,-66.04172,UV,SJU
IVAEM College,14 Intendente Ramirez St,7.87744E+11,Caguas,,PR,18.23577915,-66.03331307,UV,SJU
EDIC College,Calle Genova Num 5 Urb Caguas Norte,7877448519,Caguas,,PR,18.238568,-66.041315,UV,SJU
Pontifical Catholic University of Puerto Rico-Arecibo,Carretera 662 KM 2.3,7.87881E+13,Arecibo,,PR,18.446006,-66.679114,UV,SJU
University of Puerto Rico-Arecibo,Finca las Dunas Carr 653 Ruta 129 Km 8,7878150000,Arecibo,,PR,18.469199,-66.74114,UV,SJU
Inter American University of Puerto Rico-Arecibo,Bo San Daniel Sector Las Canelas Carretera 2,7.87879E+13,Arecibo,,PR,18.47509,-66.75901,UV,SJU
ICPR Junior College-Arecibo,20 San Patricio,7878786000,Arecibo,,PR,18.475297,-66.758263,UV,SJU
Instituto Pre-Vocacional e Indust de Puerto Rico,"Calle Eugenio Maria de Hostos Esq, Puro Girau #175",7878793300,Arecibo,,PR,18.467868,-66.724485,UV,SJU
Modern Hairstyling Institute,Vista Azul Shopping Center #2 Km.30.0,7878162991,Arecibo,,PR,18.468093,-66.723451,UV,SJU
Institute of Beauty Careers,199 Llorens Torres Ave Corner To Coll y Toste St,7878782880,Arecibo,,PR,18.46861141,-66.72097945,UV,SJU
Universidad Del Turabo,Carr. # 189 Km 3.1,7.87744E+13,Gurabo,,PR,18.239647,-66.006259,UV,SJU
Centro de Capacitacion y Asesoramiento Vetelba,Paseo de Diego #159,7877454420,Arecibo,,PR,18.472086,-66.716571,UV,SJU
Professional Electrical School Inc,3 Ramos Velez St,7878544776,Manati,,PR,18.42804895,-66.49308398,UV,SJU
Instituto de Educacion Tecnica Ocupacional La Reine,Avenida Colon A 8,7878541119,Manati,,PR,18.429557,-66.490994,UV,SJU
Instituto Tecnologico de Puerto Rico-Manati,State Road 2  Km.47.7,7.87854E+12,Manati,,PR,18.431041,-66.483862,UV,SJU
American University of Puerto Rico,Carretera Estatal #2 Km.48.1,7.87621E+13,Manati,,PR,18.434072,-66.478655,UV,SJU
Atenas College,Paseo de La Atenas  #101,7878843838,Manati,,PR,18.43328,-66.473799,UV,SJU
Inter American University of Puerto Rico-Bayamon,500 Dr. John Will Harris,7872791912,Bayamon,,PR,18.351631,-66.182473,UV,SJU
Inter American University of Puerto Rico-School of Optometry,500 John Will Harris Avenue,7877651915,Bayamon,,PR,18.35226,-66.182742,UV,SJU
Caribbean University-Vega Baja,"Carr 671, Sector El Criollo, Bo. Algarrobo",7878583668,Vega Baja,,PR,18.444882,-66.403121,UV,SJU
Globelle Technical Institute,Marginal 114 Monte Carlo,7878580236,Vega Baja,,PR,18.442741,-66.390576,UV,SJU
Universidad Central Del Caribe,Ramon Ruiz Arnau University Hospital Laurel Ave,7.87798E+13,Bayamon,,PR,18.367405,-66.154522,UV,SJU
Bayamon Central University,Avenida Zaya Verde La Milagrosa Barrio Hato Tejas,7.87786E+13,Bayamon,,PR,18.367684,-66.153595,UV,SJU
Atlantic College,Colton St. # 9,7.8772E+13,Guaynabo,,PR,18.357395,-66.111714,UV,SJU
University of Puerto Rico-Bayamon,Road 174 #170 Minillas Industrial Park,7.87993E+13,Bayamon,,PR,18.371398,-66.143541,UV,SJU
Colegio Universitario Bautista De Puerto Rico,"Calle 35, Bloque 39 # 22-24, Urb. Sierra Bayamón",7877802096,Bayamón,,PR,18.383062,-66.151059,UV,SJU
Caribbean University-Bayamon,"Carr 167  Km 21.2, Ave. Comerio",7877800070,Bayamon,,PR,18.390544,-66.159747,UV,SJU
John Dewey College,Industrial Park Corujo 2446 Rd #2,7877781200,Bayamon,,PR,18.405851,-66.196646,UV,SJU
University of Phoenix-Puerto Rico Campus,"Santander Tower at San Patricio B-7 Tabonuco St., Ste. 700",8009810688,Guaynabo,,PR,18.382361,-66.121822,UV,SJU
Automeca Technical College,Carr.No.2 Km14.0 Hato Tejas,7877796161,Bayamon,,PR,18.392262,-66.149171,UV,SJU
Inter American University of Puerto Rico-Metro,Carretera #1 Km 16 3 Esq Calle Francisco Sein,7872501912,San Juan,,PR,18.368988,-66.077711,UV,SJU
National College of Business and Technology-Bayamon,St Rd 2 National College Plaza Bldg. Km.,7.87781E+13,Bayamon,,PR,18.393027,-66.149,UV,SJU
American University of Puerto Rico,"Carr. #2, Km.14.4, Bo. Hato Tejas",7.8762E+13,Bayamon,,PR,18.406139,-66.18678,UV,SJU
Bayamon Community College,17 Maceo St,7877804242,Bayamon,,PR,18.39878071,-66.15567843,UV,SJU
Centro de Estudios Multidisciplinarios,25 Degetau St,7877808900,Bayamón,,PR,18.39881205,-66.15564078,UV,SJU
Nova College de Puerto Rico,Eugenio Sanchez Lopez #14,7877405030,Bayamon,,PR,18.383314,-66.105491,UV,SJU
American Educational College,45 Santa Cruz Street,7877981199,Bayamon,,PR,18.39694158,-66.14686604,UV,SJU
Instituto Merlix,Calle Betances 24,7.87787E+11,Bayamon,,PR,18.399781,-66.154549,UV,SJU
Advanced Tech College,Barbosa St #53,7877876841,Bayamon,,PR,18.401309,-66.155709,UV,SJU
Colegio Biblico Pentecostal de Puerto Rico,"Road 848 Km. 0.5 Callejon Marquez, Bo. Saint Just",7.87761E+12,Trujillo Alto,,PR,18.354212,-66.009218,UV,SJU
Quality Technical and Beauty College,Calle Betances esq. Parque #12 altos,7877407490,Bayamon,,PR,18.403009,-66.158362,UV,SJU
Escuela De Troqueleria Y Herramentaje,150 Rd 174 Urb Industrial Minillas,7877861834,Bayamon,,PR,18.40327,-66.15766,UV,SJU
Professional Technical Institution Inc,Calle Comerio Final 20.5  La Aldea,7877406810,Bayamon,,PR,18.403198,-66.156923,UV,SJU
Universidad Metropolitana,Ave. Ana G. Mendez Km 0.3,7877661717,Cupey,,PR,18.369087,-66.051378,UV,SJU
Modern Hairstyling Institute,Dr Veve 57,7877780300,Bayamon,,PR,18.403702,-66.157364,UV,SJU
Carib Technological Institute,Carretera #2 Km 14.4 Barrio Hato Tejas,7877989595,Bayamon,,PR,18.403998,-66.158056,UV,SJU
Educational Technical College-Bayamon,"Bayamon Shopping Center, 2do Nivel  Suite 12",7877808234,Bayamon,,PR,18.404034,-66.156905,UV,SJU
Leston College,Calle Dr Veve #52,7877879661,Bayamon,,PR,18.407083,-66.165278,UV,SJU
"Colegio de Cinematografia, Artes y Television",Dr. Veve #51 Esq. Degetau,7877792500,Bayamon,,PR,18.403009,-66.150412,UV,SJU
Automeca Technical College,Calle Munoz Rivera No.69,7877463468,Caguas,,PR,18.403854,-66.150807,UV,SJU
Inter American University of Puerto Rico-Central Office,Urb Jardines Metropolitanos Calle Galileo Final,7877661912,San Juan,,PR,18.404214,-66.069599,UV,SJU
Caribbean Forensic and Technical College,Paseo de Diego St #5 2nd & 3rd Floor,7877596995,Rio Piedras,,PR,18.398396,-66.044571,UV,SJU
Colegio Pentecostal Mizpa,Bo Caimito Rd 199 Km 0.3,7877204476,Rio Piedras,,PR,18.402712,-66.056334,UV,SJU
Sistema Universitario Ana G Mendez,Apartado 21345,7877510178,Rio Piedras,,PR,18.400158,-66.046432,UV,SJU
Ramirez College of Business and Technology,Ave. Ponce de Leon # 1057,7877633120,San Juan,,PR,18.404106,-66.052314,UV,SJU
University of Puerto Rico-Rio Piedras Campus,Ponce de Leon  Ave,7877640000,Rio Piedras,,PR,18.403027,-66.045875,UV,SJU
University of Puerto Rico-Central Administration,"Carr #1, Km 12.9 Terrenos Estacion Exp.  Agricola",7872500000,San Juan,,PR,18.407056,-66.056612,UV,SJU
John Dewey College-Carolina Campus,Road 3 Compound 11 Lot 7 Carolina Industrial Park,7877531515,Carolina,,PR,18.376596,-65.958397,UV,SJU
Seminario Evangelico de Puerto Rico,776 Ponce de Leon Avenue,7.87764E+12,San Juan,,PR,18.40724785,-66.05022066,UV,SJU
University of Puerto Rico-Medical Sciences Campus,"Rio Piedras Medical Center, Americo Miranda Avenue",7877582525,San Juan,,PR,18.408675,-66.051774,UV,SJU
University of Puerto Rico-Carolina,Carretera 887 Bo San Anton,7.87257E+13,Carolina,,PR,18.391471,-65.989694,UV,SJU
American Technological College,Arzuaga #112 Medina Ctr 1105,7875360369,San Juan,,PR,18.382594,-65.958685,UV,SJU
ICPR Junior College-General Institutional,558 Munoz Rivera Avenue,7877536000,Hato Rey,,PR,18.41577162,-66.05699558,UV,SJU
