NAME,ADDRESS,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
Cuerpo de Bomberos de Puerto Rico,Calle Concepcion #23,787-835-2330,Guayanilla,GUAYANILLA ,PR,18.019935,-66.7912005,FD,SJU
"Cuerpo De Bomberos De Puerto Rico, EstacionMor",10 Calle Patron,787-862-2330,Morovis,MOROVIS,PR,18.32674405,-66.40321876,FD,SJU
Guaynabo Municipality EMS,Santos Rivera Bldg,787-720-2320,Guaynabo,GUAYNABO ,PR,18.358071,-66.115592,FD,SJU
Municipal Fire Department of Carolina,Roberto Clemente Ave,787-769-4848,Carolina,CAROLINA ,PR,18.38173497,-65.9642668,FD,SJU
Puerto Rico State Fire Department,,787-725-3444,San Juan,SAN JUAN ,PR,18.455487,-66.08267,FD,SJU
Puerto Rico Lifeguard & Rescue Services,calle 22,787-957-7766,Canovanas,CANOVANAS,PR,18.3924761,-65.88678687,FD,SJU
156th CES/Fire Department,200 AVE Jose A. Santana,787-253-5222,Carolina,CAROLINA ,PR,18.439002,-65.994192,FD,SJU
Key West Fire Department,,305-809-3939,Key West,MONROE ,FL,24.555759,-81.8044415,FD,KEY
Naval Air Station Key WestFire & Emergency Services,,305-293-5810,Key West,MONROE ,FL,24.561672,-81.7717535,FD,KEY
Big Coppitt Volunteer Fire Department,,305-294-9419,Key West,MONROE ,FL,24.565902,-81.772352,FD,KEY
"Sugarloaf Volunteer Fire Department, Inc.",17175 Overseas HWY,305-745-4001,Sugarloaf Key,MONROE ,FL,24.647256,-81.564102,FD,KEY
Big Pine Key Volunteer Fire Department,,305-872-0975,Big Pine,MONROE ,FL,24.6724049,-81.3466694,FD,KEY
Monroe County Fire Rescue,490 63RD ST Ocean E,305-289-6004,Marathon,MONROE ,FL,24.71561126,-81.06884057,FD,KEY
Marathon Fire Rescue,8900 Overseas HWY,305-743-5266,Marathon,MONROE ,FL,24.72433271,-81.05195148,FD,KEY
Brownsville Fire Department,1150 E Adams,956-546-3195,Brownsville,CAMERON,TX,25.90257103,-97.4971252,FD,BRO
Rancho Viejo Volunteer Fire Department,,956-350-6210,Olmito,CAMERON,TX,26.0213048,-97.5325048,FD,BRO
