NAME,ADDRESS,PHONE,CITY,COUNTY,STATE,LAT,LON,TYPE,WFO
Sun Life Stadium,2267 Dan Marino Way,,Miami,,FL,26.19675394,-80.84966544,MLB,MFL
Tropicana Field,1 Tropicana Drive,,Saint Petersburg,,FL,27.86875447,-82.07017605,MLB,TBW
MinuteMaid Park,501 Crawford Street,,Houston,,TX,30.0460459,-95.67475693,MLB,HGX
Rangers Ballpark in Arlington,1000 Ballpark Way,,Arlington,,TX,32.36649083,-97.13923864,MLB,FWD
Turner Field,755 Henry Aaron Drive,,Atlanta,,GA,33.32663856,-83.92462245,MLB,FFC
Chase Field,401 East Jefferson,,Phoenix,,AZ,33.31109035,-113.5156187,MLB,PSR
PETCO Park,19 Tony Gwynn Way,,San Diego,,CA,33.68762453,-116.9297895,MLB,SGX
Angel Stadium of Anaheim,2000 East Gene Autry Way,,Anaheim,,CA,33.68762453,-116.9297895,MLB,SGX
Dodger Stadium,1000 Elysian Park Avenue,,Los Angeles,,CA,34.71872467,-119.3728653,MLB,LOX
Busch Stadium,150 Stadium Plaza,,Saint Louis,,MO,38.81667222,-90.83054874,MLB,LSX
Kauffman Stadium,1 Royals Way,,Kansas City,,MO,39.4890052,-93.93018966,MLB,EAX
Great American Ball Park,100 Main Street,,Cincinnati,,OH,39.54199762,-83.8855713,MLB,ILN
Coors Field,2001 Blake Street,,Denver,,CO,40.01238485,-104.5382942,MLB,BOU
Nationals Park,1500 South Capitol St SE,,Washington,,DC,38.84064833,-77.99560278,MLB,LWX
Oakland-Alameda County Coliseum,7000 Coliseum Way,,Oakland,,CA,37.25288225,-121.8195843,MLB,MTR
AT&T Park,24 Willie Mays Plaza,,San Francisco,,CA,37.25288225,-121.8195843,MLB,MTR
Oriole Park at Camden Yards,333 West Camden Street,,Baltimore,,MD,38.84064833,-77.99560278,MLB,LWX
PNC Park,West General Robinson Street,,Pittsburgh,,PA,40.36423198,-80.22615624,MLB,PBZ
Citizens Bank Park,1 Citizens Bank Way,,Philadelphia,,PA,39.97136107,-75.21463965,MLB,PHI
US Cellular Field (Comiskey Park),333 West 35th Street,,Chicago,,IL,41.48410841,-88.25822413,MLB,LOT
Wrigley Field,1060 West Addison Street,,Chicago,,IL,41.48410841,-88.25822413,MLB,LOT
Progressive Field,2401 Ontario Street,,Cleveland,,OH,41.18670991,-81.94048346,MLB,CLE
Citi Field,123-01 Roosevelt Avenue,,Flushing,,NY,41.17745645,-73.38810795,MLB,OKX
New Yankee Stadium,East 161st at River Avenue,,New York,,NY,41.17745645,-73.38810795,MLB,OKX
Comerica Park,2100 Woodward Avenue,,Detroit,,MI,42.94604615,-83.51166796,MLB,DTX
Miller Park,1 Brewers Way,,Milwaukee,,WI,43.17600468,-89.02917647,MLB,MKX
Fenway Park,4 Yawkey Way,,Boston,,MA,42.11040152,-71.752862,MLB,BOX
Target Field,1 Twins Way,,Minneapolis,,MN,44.99419816,-93.82791302,MLB,MPX
Safeco Field,1250 1st Avenue South,,Seattle,,WA,47.66672928,-122.5397952,MLB,SEW
